id,venue_name,city,venue_id,toss_won,decision,pom,points,super_over,1st_innings_score,2nd_innings_score,home_team,away_team,home_overs,home_runs,home_wickets,home_key_batter,home_key_bowler,away_overs,away_runs,away_wickets,away_key_batter,away_key_bowler,home_pp_runs_scored,home_middle_runs_scored,home_death_runs_scored,home_pp_wickets_lost,middle_wickets_lost,death_wickets_lost,away_pp_runs_scored,away_middle_runs_scored,away_death_runs_scored,away_pp_wickets_lost,away_middle_wickets_lost,away_death_wickets_lost
1359475,"Narendra Modi Stadium, Ahmedabad", Ahmedabad,57851,GT,BOWL FIRST,Rashid Khan,"Gujarat Titans 2, Chennai Super Kings 0",FALSE,178/7,182/5,GT,CSK,19.2,182,5,"Shubman Gill , Vijay Shankar ","Rashid Khan, Mohammed Shami",20,178,7,"Ruturaj Gaikwad , Moeen Ali ","Rajvardhan Hangargekar, Ravindra Jadeja",65,73,33,1,1,1,51,82,45,2,2,2
1359476,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh", Chandigarh,57991,KKR,BOWL FIRST,Arshdeep Singh,"Punjab Kings 2, Kolkata Knight Riders 0",FALSE,191/5,146/7,KXIP,KKR,20,191,5,"Bhanuka Rajapaksa , Shikhar Dhawan ","Arshdeep Singh, Rahul Chahar",16,146,7,"Andre Russell , Venkatesh Iyer ","Tim Southee, Varun Chakravarthy",56,87,48,1,1,1,46,90,10,3,3,3
1359477,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow", Lucknow,1070094,DC,BOWL FIRST,Mark Wood,"Lucknow Super Giants 2, Delhi Capitals 0",FALSE,193/6,143/9,LSG,DC,20,193,6,"Kyle Mayers , Nicholas Pooran ","Mark Wood, Avesh Khan",20,143,9,"David Warner , Rilee Rossouw ","Khaleel Ahmed, Chetan Sakariya",30,97,66,1,1,1,47,63,33,2,2,2
1359478,"Rajiv Gandhi International Stadium, Uppal, Hyderabad", Hyderabad,58142,SRH,BOWL FIRST,Jos Buttler,"Rajasthan Royals 2, Sunrisers Hyderabad 0",FALSE,203/5,131/8,SRH,RR,20,131,8,"Abdul Samad *, Mayank Agarwal ","T Natarajan, Fazalhaq Farooqi",20,203,5,"Sanju Samson , Jos Buttler ","Yuzvendra Chahal, Trent Boult",30,55,46,2,2,2,85,75,43,1,1,1
1359479,"M Chinnaswamy Stadium, Bengaluru", Bengaluru,57897,RCB,BOWL FIRST,Faf du Plessis,"Royal Challengers Bangalore 2, Mumbai Indians 0",FALSE,171/7,172/2,RCB,MI,16.2,172,2,"Virat Kohli *, Faf du Plessis ","Karn Sharma, Mohammed Siraj",20,171,7,"Tilak Varma *, Nehal Wadhera ","Arshad Khan, Cameron Green",53,95,13,0,0,0,29,73,58,3,3,3
1359480,"MA Chidambaram Stadium, Chepauk, Chennai", Chennai,58008,LSG,BOWL FIRST,Moeen Ali,"Chennai Super Kings 2, Lucknow Super Giants 0",FALSE,217/7,205/7,CSK,LSG,20,217,7,"Ruturaj Gaikwad , Devon Conway ","Moeen Ali, Tushar Deshpande",20,205,7,"Kyle Mayers , Nicholas Pooran ","Ravi Bishnoi, Mark Wood",79,85,53,0,0,0,80,70,55,1,1,1
1359481,"Arun Jaitley Stadium, Delhi", Delhi,58040,GT,BOWL FIRST,Sai Sudharsan,"Gujarat Titans 2, Delhi Capitals 0",FALSE,162/8,163/4,DC,GT,20,162,8,"David Warner , Axar Patel ","Anrich Nortje, Mitchell Marsh",18.1,163,4,"Sai Sudharsan *, David Miller *","Rashid Khan, Mohammed Shami",52,69,31,2,2,2,54,63,44,3,3,3
1359482,"Barsapara Cricket Stadium, Guwahati", Guwahati,680295,RR,BOWL FIRST,Nathan Ellis,"Punjab Kings 2, Rajasthan Royals 0",FALSE,197/4,192/7,RR,KXIP,20,192,7,"Sanju Samson , Shimron Hetmyer ","Jason Holder, Ravichandran Ashwin",20,197,4,"Shikhar Dhawan *, Prabhsimran Singh ","Nathan Ellis, Arshdeep Singh",57,67,68,3,3,3,63,89,45,0,0,0
1359484,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow", Lucknow,1070094,SRH,BAT FIRST,Krunal Pandya,"Lucknow Super Giants 2, Sunrisers Hyderabad 0",FALSE,121/8,127/5,LSG,SRH,16,127,5,"KL Rahul , Krunal Pandya ","Krunal Pandya, Amit Mishra",20,121,8,"Rahul Tripathi , Anmolpreet Singh ","Adil Rashid, Fazalhaq Farooqi",45,73,9,2,2,2,43,40,38,1,1,1
1359485,"Barsapara Cricket Stadium, Guwahati", Guwahati,680295,DC,BOWL FIRST,Yashasvi Jaiswal,"Rajasthan Royals 2, Delhi Capitals 0",FALSE,199/4,142/9,RR,DC,20,199,4,"Jos Buttler , Yashasvi Jaiswal ","Yuzvendra Chahal, Trent Boult",20,142,9,"David Warner , Lalit Yadav ","Mukesh Kumar, Kuldeep Yadav",68,62,69,0,0,0,38,75,29,3,3,3
