batter,season,overall_key_count,home_key_count,away_key_count,batter_surname
David Warner,2016,12.0,6.0,6.0,Warner
Shaun Marsh,2008,10.0,5.0,5.0,Marsh
Chris Gayle,2012,9.0,2.0,7.0,Gayle
Jos Buttler,2022,9.0,5.0,4.0,Buttler
Gautam Gambhir,2012,8.0,4.0,4.0,Gambhir
Virender Sehwag,2012,8.0,4.0,4.0,Sehwag
Chris Gayle,2013,8.0,5.0,3.0,Gayle
David Warner,2017,8.0,5.0,3.0,Warner
Rishabh Pant,2018,8.0,5.0,3.0,Pant
Robin Uthappa,2014,8.0,5.0,3.0,Uthappa
Dinesh Karthik ,2018,8.0,5.0,3.0,Karthik
Jean-Paul Duminy,2009,7.0,2.0,5.0,Duminy
Kane Williamson,2018,7.0,2.0,5.0,Williamson
Quinton de Kock,2016,7.0,2.0,5.0,deKock
Jacques Kallis,2010,7.0,3.0,4.0,Kallis
KL Rahul,2018,7.0,3.0,4.0,Rahul
Michael Hussey,2013,7.0,3.0,4.0,Hussey
Sachin Tendulkar,2010,7.0,3.0,4.0,Tendulkar
AB de Villiers,2018,7.0,4.0,3.0,deVilliers
Sachin Tendulkar ,2011,7.0,4.0,3.0,Tendulkar
Chris Lynn,2018,7.0,5.0,2.0,Lynn
Matthew Hayden,2009,7.0,5.0,2.0,Hayden
Shikhar Dhawan,2021,7.0,5.0,2.0,Dhawan
Rahul Dravid ,2011,7.0,5.0,2.0,Dravid
Jos Buttler,2018,6.0,2.0,4.0,Buttler
Lendl Simmons,2015,6.0,2.0,4.0,Simmons
Rohit Sharma,2012,6.0,2.0,4.0,Sharma
Ruturaj Gaikwad,2021,6.0,2.0,4.0,Gaikwad
Sanju Samson,2021,6.0,2.0,4.0,Samson
Shikhar Dhawan,2016,6.0,2.0,4.0,Dhawan
Ajinkya Rahane ,2017,6.0,2.0,4.0,Rahane
Eoin Morgan ,2020,6.0,2.0,4.0,Morgan
AB de Villiers,2016,6.0,3.0,3.0,deVilliers
Ajinkya Rahane,2016,6.0,3.0,3.0,Rahane
Andre Russell,2022,6.0,3.0,3.0,Russell
Chris Gayle,2011,6.0,3.0,3.0,Gayle
David Warner,2015,6.0,3.0,3.0,Warner
David Warner,2023,6.0,3.0,3.0,Warner
Gautam Gambhir,2013,6.0,3.0,3.0,Gambhir
Quinton de Kock,2022,6.0,3.0,3.0,deKock
Sanath Jayasuriya,2008,6.0,3.0,3.0,Jayasuriya
Shreyas Iyer,2019,6.0,3.0,3.0,Iyer
Virat Kohli,2016,6.0,3.0,3.0,Kohli
David Miller ,2014,6.0,3.0,3.0,Miller
Kane Williamson ,2018,6.0,3.0,3.0,Williamson
Mandeep Singh ,2013,6.0,3.0,3.0,Singh
Robin Uthappa ,2010,6.0,3.0,3.0,Uthappa
Shimron Hetmyer ,2022,6.0,3.0,3.0,Hetmyer
Suryakumar Yadav ,2023,6.0,3.0,3.0,Yadav
Ajinkya Rahane,2013,6.0,4.0,2.0,Rahane
David Warner,2013,6.0,4.0,2.0,Warner
David Warner,2022,6.0,4.0,2.0,Warner
KL Rahul,2019,6.0,4.0,2.0,Rahul
Rohit Sharma,2013,6.0,4.0,2.0,Sharma
Shikhar Dhawan,2020,6.0,4.0,2.0,Dhawan
Suryakumar Yadav,2018,6.0,4.0,2.0,Yadav
MS Dhoni ,2008,6.0,4.0,2.0,Dhoni
Ruturaj Gaikwad ,2023,6.0,4.0,2.0,Gaikwad
Virat Kohli ,2016,6.0,4.0,2.0,Kohli
Shubman Gill,2023,6.0,5.0,1.0,Gill
MS Dhoni ,2009,6.0,5.0,1.0,Dhoni
Saurabh Tiwary ,2010,6.0,5.0,1.0,Tiwary
Abhishek Sharma,2022,5.0,1.0,4.0,Sharma
Dwayne Smith,2014,5.0,1.0,4.0,Smith
Rishabh Pant,2019,5.0,1.0,4.0,Pant
Abhishek Nayar ,2009,5.0,1.0,4.0,Nayar
Ambati Rayudu ,2013,5.0,1.0,4.0,Rayudu
Ambati Rayudu ,2020,5.0,1.0,4.0,Rayudu
Jean-Paul Duminy ,2015,5.0,1.0,4.0,Duminy
Rahul Dravid ,2008,5.0,1.0,4.0,Dravid
Ravindra Jadeja ,2009,5.0,1.0,4.0,Jadeja
Sachin Tendulkar ,2009,5.0,1.0,4.0,Tendulkar
Stuart Binny ,2013,5.0,1.0,4.0,Binny
Ambati Rayudu,2018,5.0,2.0,3.0,Rayudu
David Miller,2013,5.0,2.0,3.0,Miller
David Warner,2014,5.0,2.0,3.0,Warner
Dwayne Smith,2013,5.0,2.0,3.0,Smith
Faf du Plessis,2015,5.0,2.0,3.0,duPlessis
KL Rahul,2022,5.0,2.0,3.0,Rahul
Ravindra Jadeja,2011,5.0,2.0,3.0,Jadeja
Rohit Sharma,2016,5.0,2.0,3.0,Sharma
Sanju Samson,2023,5.0,2.0,3.0,Samson
Shikhar Dhawan,2013,5.0,2.0,3.0,Dhawan
Shubman Gill,2020,5.0,2.0,3.0,Gill
Virat Kohli,2011,5.0,2.0,3.0,Kohli
Virat Kohli,2015,5.0,2.0,3.0,Kohli
Virat Kohli,2018,5.0,2.0,3.0,Kohli
Virender Sehwag,2008,5.0,2.0,3.0,Sehwag
AB de Villiers ,2020,5.0,2.0,3.0,deVilliers
Aiden Markram ,2022,5.0,2.0,3.0,Markram
Ajinkya Rahane ,2018,5.0,2.0,3.0,Rahane
Andre Russell ,2023,5.0,2.0,3.0,Russell
Deepak Hooda ,2022,5.0,2.0,3.0,Hooda
Devdutt Padikkal ,2022,5.0,2.0,3.0,Padikkal
Gautam Gambhir ,2008,5.0,2.0,3.0,Gambhir
KL Rahul ,2020,5.0,2.0,3.0,Rahul
Kevin Pietersen ,2012,5.0,2.0,3.0,Pietersen
Mithun Manhas ,2010,5.0,2.0,3.0,Manhas
Moeen Ali ,2019,5.0,2.0,3.0,Ali
Robin Uthappa ,2008,5.0,2.0,3.0,Uthappa
Saurabh Tiwary ,2012,5.0,2.0,3.0,Tiwary
Shikhar Dhawan ,2014,5.0,2.0,3.0,Dhawan
Shikhar Dhawan ,2015,5.0,2.0,3.0,Dhawan
Virat Kohli ,2012,5.0,2.0,3.0,Kohli
Virat Kohli ,2015,5.0,2.0,3.0,Kohli
Yusuf Pathan ,2008,5.0,2.0,3.0,Pathan
Ambati Rayudu,2011,5.0,3.0,2.0,Rayudu
David Hussey,2012,5.0,3.0,2.0,Hussey
David Warner,2019,5.0,3.0,2.0,Warner
Devdutt Padikkal,2021,5.0,3.0,2.0,Padikkal
Gautam Gambhir,2016,5.0,3.0,2.0,Gambhir
Glenn Maxwell,2021,5.0,3.0,2.0,Maxwell
Graeme Smith,2008,5.0,3.0,2.0,Smith
Jacques Kallis,2011,5.0,3.0,2.0,Kallis
KL Rahul,2020,5.0,3.0,2.0,Rahul
Murali Vijay,2016,5.0,3.0,2.0,Vijay
Quinton de Kock,2019,5.0,3.0,2.0,deKock
Rahul Dravid,2010,5.0,3.0,2.0,Dravid
Sachin Tendulkar,2011,5.0,3.0,2.0,Tendulkar
Shaun Marsh,2011,5.0,3.0,2.0,Marsh
