id,venue_name,city,venue_id,toss_won,decision,pom,points,super_over,team2_overs,team1_overs,winner,team1_key_batters,team1_key_bowlers,team2_key_batters,team2_key_bowlers,date,description,team1,team2,team1_score,team1_runs,team1_wickets,team2_score,team2_runs,team2_wickets,result,live_score_link,match_overs_link,team1_pp_runs_scored,team1_middle_runs_scored,team1_death_runs_scored,team1_pp_wickets_lost,team1_middle_wickets_lost,team1_death_wickets_lost,team2_pp_runs_scored,team2_middle_runs_scored,team2_death_runs_scored,team2_pp_wickets_lost,team2_middle_wickets_lost,team2_death_wickets_lost
1304047,"Wankhede Stadium, Mumbai", Mumbai,58324,Kolkata Knight Riders,BOWL FIRST,Umesh Yadav,26 March 2022 - night (20-over match),FALSE,18.3,20,KKR,"MS Dhoni *, Robin Uthappa ","Dwayne Bravo, Mitchell Santner","Ajinkya Rahane , Sam Billings ","Umesh Yadav, Varun Chakravarthy", March 26 2022,"1st Match (N), Wankhede, March 26, 2022, Indian Premier League",CSK,KKR,131/5,131,5,133/4,133,4,KKR won by 6 wickets (with 9 balls remaining),/series/indian-premier-league-2022-1298423/chennai-super-kings-vs-kolkata-knight-riders-1st-match-1304047/live-cricket-score,/series/indian-premier-league-2022-1298423/chennai-super-kings-vs-kolkata-knight-riders-1st-match-1304047/match-overs-comparison,35.0,38.0,47.0,2.0,3.0,0.0,43.0,61.0,22.0,0.0,3.0,1.0
1304048,"Brabourne Stadium, Mumbai", Mumbai,58317,Delhi Capitals,BOWL FIRST,Kuldeep Yadav,27 March 2022 - daynight (20-over match),FALSE,18.2,20,DC,"Ishan Kishan *, Rohit Sharma ","Basil Thampi, Murugan Ashwin","Lalit Yadav *, Axar Patel *","Kuldeep Yadav, Khaleel Ahmed", March 27 2022,"2nd Match (D/N), Brabourne, March 27, 2022, Indian Premier League",MI,DC,177/5,177,5,179/6,179,6,Capitals won by 4 wickets (with 10 balls remaining),/series/indian-premier-league-2022-1298423/delhi-capitals-vs-mumbai-indians-2nd-match-1304048/live-cricket-score,/series/indian-premier-league-2022-1298423/delhi-capitals-vs-mumbai-indians-2nd-match-1304048/match-overs-comparison,53.0,65.0,46.0,0.0,3.0,2.0,46.0,76.0,52.0,3.0,3.0,0.0
1304049,"Dr DY Patil Sports Academy, Mumbai", Mumbai,343050,Punjab Kings,BOWL FIRST,Odean Smith,27 March 2022 - night (20-over match),FALSE,19,20,PBKS,"Faf du Plessis , Virat Kohli *","Mohammed Siraj, Harshal Patel","Bhanuka Rajapaksa , Shikhar Dhawan ","Rahul Chahar, Arshdeep Singh", March 27 2022,"3rd Match (N), DY Patil, March 27, 2022, Indian Premier League",RCB,PBKS,205/2,205,2,208/5,208,5,Punjab Kings won by 5 wickets (with 6 balls remaining),/series/indian-premier-league-2022-1298423/punjab-kings-vs-royal-challengers-bangalore-3rd-match-1304049/live-cricket-score,/series/indian-premier-league-2022-1298423/punjab-kings-vs-royal-challengers-bangalore-3rd-match-1304049/match-overs-comparison,41.0,101.0,63.0,0.0,1.0,1.0,63.0,93.0,52.0,0.0,5.0,0.0
1304050,"Wankhede Stadium, Mumbai", Mumbai,58324,Gujarat Titans,BOWL FIRST,Mohammed Shami,28 March 2022 - night (20-over match),FALSE,19.4,20,GT,"Deepak Hooda , Ayush Badoni ","Dushmantha Chameera, Krunal Pandya","Rahul Tewatia *, Hardik Pandya ","Mohammed Shami, Varun Aaron", March 28 2022,"4th Match (N), Wankhede, March 28, 2022, Indian Premier League",LSG,GT,158/6,158,6,161/5,161,5,Titans won by 5 wickets (with 2 balls remaining),/series/indian-premier-league-2022-1298423/gujarat-titans-vs-lucknow-super-giants-4th-match-1304050/live-cricket-score,/series/indian-premier-league-2022-1298423/gujarat-titans-vs-lucknow-super-giants-4th-match-1304050/match-overs-comparison,32.0,77.0,49.0,4.0,0.0,2.0,44.0,47.0,57.0,2.0,2.0,1.0
1304051,"Maharashtra Cricket Association Stadium, Pune", Pune,545380,Sunrisers Hyderabad,BOWL FIRST,Sanju Samson,29 March 2022 - night (20-over match),FALSE,20,20,SRH,"Sanju Samson , Devdutt Padikkal ","Yuzvendra Chahal, Prasidh Krishna","Aiden Markram *, Washington Sundar ","Umran Malik, T Natarajan", March 29 2022,"5th Match (N), Pune, March 29, 2022, Indian Premier League",RR,SRH,210/6,210,6,149/7,149,7,Royals won by 61 runs,/series/indian-premier-league-2022-1298423/sunrisers-hyderabad-vs-rajasthan-royals-5th-match-1304051/live-cricket-score,/series/indian-premier-league-2022-1298423/sunrisers-hyderabad-vs-rajasthan-royals-5th-match-1304051/match-overs-comparison,58.0,90.0,62.0,0.0,3.0,3.0,14.0,63.0,72.0,3.0,2.0,2.0
1304052,"Dr DY Patil Sports Academy, Mumbai", Mumbai,343050,Royal Challengers Bangalore,BOWL FIRST,Wanindu Hasaranga,"Royal Challengers Bangalore 2, Kolkata Knight Riders 0",FALSE,19.2,20,RCB,"Andre Russell , Umesh Yadav ","Tim Southee, Umesh Yadav","Sherfane Rutherford , Shahbaz Ahmed ","Wanindu Hasaranga, Akash Deep", March 30 2022,"6th Match (N), DY Patil, March 30, 2022, Indian Premier League",KKR,RCB,128,128,10,132/7,132,7,RCB won by 3 wickets (with 4 balls remaining),/series/indian-premier-league-2022-1298423/royal-challengers-bangalore-vs-kolkata-knight-riders-6th-match-1304052/live-cricket-score,/series/indian-premier-league-2022-1298423/royal-challengers-bangalore-vs-kolkata-knight-riders-6th-match-1304052/match-overs-comparison,44.0,57.0,37.0,3.0,6.0,1.0,36.0,57.0,29.0,3.0,1.0,3.0
1304053,"Brabourne Stadium, Mumbai", Mumbai,58317,Lucknow Super Giants,BOWL FIRST,Evin Lewis,"Lucknow Super Giants 2, Chennai Super Kings 0",FALSE,19.3,20,LSG,"Robin Uthappa , Shivam Dube ","Dwaine Pretorius, Dwayne Bravo","Quinton de Kock , Evin Lewis *","Ravi Bishnoi, Avesh Khan", March 31 2022,"7th Match (N), Brabourne, March 31, 2022, Indian Premier League",CSK,LSG,210/7,210,7,211/4,211,4,Super Giants won by 6 wickets (with 3 balls remaining),/series/indian-premier-league-2022-1298423/lucknow-super-giants-vs-chennai-super-kings-7th-match-1304053/live-cricket-score,/series/indian-premier-league-2022-1298423/lucknow-super-giants-vs-chennai-super-kings-7th-match-1304053/match-overs-comparison,73.0,74.0,63.0,1.0,2.0,4.0,55.0,89.0,58.0,0.0,3.0,1.0
1304054,"Wankhede Stadium, Mumbai", Mumbai,58324,Kolkata Knight Riders,BOWL FIRST,Umesh Yadav,1 April 2022 - night (20-over match),FALSE,14.3,20,No Result,"Bhanuka Rajapaksa , Kagiso Rabada ","Rahul Chahar, Kagiso Rabada","Andre Russell *, Shreyas Iyer ","Umesh Yadav, Tim Southee", April 01 2022,"8th Match (N), Wankhede, April 01, 2022, Indian Premier League",PBKS,KKR,137,137,10,141/4,141,4,KKR won by 6 wickets (with 33 balls remaining),/series/indian-premier-league-2022-1298423/kolkata-knight-riders-vs-punjab-kings-8th-match-1304054/live-cricket-score,/series/indian-premier-league-2022-1298423/kolkata-knight-riders-vs-punjab-kings-8th-match-1304054/match-overs-comparison,62.0,40.0,48.0,3.0,5.0,2.0,51.0,77.0,0.0,2.0,2.0,0.0
1304055,"Dr DY Patil Sports Academy, Mumbai", Mumbai,343050,Mumbai Indians,BOWL FIRST,Jos Buttler,2 April 2022 - daynight (20-over match),FALSE,20,20,MI,"Jos Buttler , Shimron Hetmyer ","Yuzvendra Chahal, Navdeep Saini","Tilak Varma , Ishan Kishan ","Jasprit Bumrah, Tymal Mills", April 02 2022,"9th Match (D/N), DY Patil, April 02, 2022, Indian Premier League",RR,MI,193/8,193,8,170/8,170,8,Royals won by 23 runs,/series/indian-premier-league-2022-1298423/mumbai-indians-vs-rajasthan-royals-9th-match-1304055/live-cricket-score,/series/indian-premier-league-2022-1298423/mumbai-indians-vs-rajasthan-royals-9th-match-1304055/match-overs-comparison,48.0,90.0,55.0,2.0,1.0,5.0,50.0,86.0,34.0,2.0,2.0,4.0
1304056,"Maharashtra Cricket Association Stadium, Pune", Pune,545380,Delhi Capitals,BOWL FIRST,Lockie Ferguson,2 April 2022 - night (20-over match),FALSE,20,20,DC,"Shubman Gill , Hardik Pandya ","Lockie Ferguson, Mohammed Shami","Rishabh Pant , Lalit Yadav ","Mustafizur Rahman, Khaleel Ahmed", April 02 2022,"10th Match (N), Pune, April 02, 2022, Indian Premier League",GT,DC,171/6,171,6,157/9,157,9,Titans won by 14 runs,/series/indian-premier-league-2022-1298423/gujarat-titans-vs-delhi-capitals-10th-match-1304056/live-cricket-score,/series/indian-premier-league-2022-1298423/gujarat-titans-vs-delhi-capitals-10th-match-1304056/match-overs-comparison,44.0,76.0,51.0,1.0,2.0,3.0,43.0,83.0,31.0,3.0,3.0,3.0
