id,venue_name,city,venue_id,toss_won,decision,pom,winner,1st_innings_score,2nd_innings_score,home_team,away_team,season,super_over,points,home_overs,home_score,home_wickets,home_key_batter,home_key_bowler,away_overs,away_score,away_wickets,away_key_batter,away_key_bowler,home_pp_runs_scored,home_middle_runs_scored,home_death_runs_scored,home_pp_wickets_lost,middle_wickets_lost,death_wickets_lost,away_pp_runs_scored,away_middle_runs_scored,away_death_runs_scored,away_pp_wickets_lost,away_middle_wickets_lost,away_death_wickets_lost,better_team
1304047.0,"Wankhede Stadium, Mumbai", Mumbai,58324,KKR,BOWL FIRST,Umesh Yadav,KKR,131/5,133/4,CSK,KKR,2022,False,"Kolkata Knight Riders 2, Chennai Super Kings 0",20.0,131,5,"MS Dhoni *, Robin Uthappa ","Dwayne Bravo, Mitchell Santner",18.3,133,4,"Ajinkya Rahane , Sam Billings ","Umesh Yadav, Varun Chakravarthy",35,38,47,2,2,2,43,61,22,0,0,0,KKR
1304048.0,"Brabourne Stadium, Mumbai", Mumbai,58317,DC,BOWL FIRST,Kuldeep Yadav,DC,177/5,179/6,DC,MI,2022,False,"Delhi Capitals 2, Mumbai Indians 0",18.2,179,6,"Lalit Yadav *, Axar Patel *","Kuldeep Yadav, Khaleel Ahmed",20.0,177,5,"Ishan Kishan *, Rohit Sharma ","Basil Thampi, Murugan Ashwin",46,76,52,3,3,3,53,65,46,0,0,0,DC
1304049.0,"Dr DY Patil Sports Academy, Mumbai", Mumbai,343050,KXIP,BOWL FIRST,Odean Smith,KXIP,205/2,208/5,KXIP,RCB,2022,False,"Punjab Kings 2, Royal Challengers Bangalore 0",19.0,208,5,"Bhanuka Rajapaksa , Shikhar Dhawan ","Rahul Chahar, Arshdeep Singh",20.0,205,2,"Faf du Plessis , Virat Kohli *","Mohammed Siraj, Harshal Patel",63,93,52,0,0,0,41,101,63,0,0,0,KXIP
1304050.0,"Wankhede Stadium, Mumbai", Mumbai,58324,GT,BOWL FIRST,Mohammed Shami,GT,158/6,161/5,GT,LSG,2022,False,"Gujarat Titans 2, Lucknow Super Giants 0",19.4,161,5,"Rahul Tewatia *, Hardik Pandya ","Mohammed Shami, Varun Aaron",20.0,158,6,"Deepak Hooda , Ayush Badoni ","Dushmantha Chameera, Krunal Pandya",44,47,57,2,2,2,32,77,49,4,4,4,GT
1304051.0,"Maharashtra Cricket Association Stadium, Pune", Pune,545380,SRH,BOWL FIRST,Sanju Samson,RR,210/6,149/7,SRH,RR,2022,False,"Rajasthan Royals 2, Sunrisers Hyderabad 0",20.0,149,7,"Aiden Markram *, Washington Sundar ","Umran Malik, T Natarajan",20.0,210,6,"Sanju Samson , Devdutt Padikkal ","Yuzvendra Chahal, Prasidh Krishna",14,63,72,3,3,3,58,90,62,0,0,0,RR
1304052.0,"Dr DY Patil Sports Academy, Mumbai", Mumbai,343050,RCB,BOWL FIRST,Wanindu Hasaranga,RCB,128,132/7,RCB,KKR,2022,False,"Royal Challengers Bangalore 2, Kolkata Knight Riders 0",19.2,132,7,"Sherfane Rutherford , Shahbaz Ahmed ","Wanindu Hasaranga, Akash Deep",20.0,128,10,"Andre Russell , Umesh Yadav ","Tim Southee, Umesh Yadav",36,57,29,3,3,3,44,57,37,3,3,3,RCB
1304053.0,"Brabourne Stadium, Mumbai", Mumbai,58317,LSG,BOWL FIRST,Evin Lewis,LSG,210/7,211/4,LSG,CSK,2022,False,"Lucknow Super Giants 2, Chennai Super Kings 0",19.3,211,4,"Quinton de Kock , Evin Lewis *","Ravi Bishnoi, Avesh Khan",20.0,210,7,"Robin Uthappa , Shivam Dube ","Dwaine Pretorius, Dwayne Bravo",55,89,58,0,0,0,73,74,63,1,1,1,LSG
1304054.0,"Wankhede Stadium, Mumbai", Mumbai,58324,KKR,BOWL FIRST,Umesh Yadav,KKR,137,141/4,KKR,KXIP,2022,False,"Kolkata Knight Riders 2, Punjab Kings 0",14.3,141,4,"Andre Russell *, Shreyas Iyer ","Umesh Yadav, Tim Southee",14.3,141,4,"Andre Russell *, Shreyas Iyer ","Umesh Yadav, Tim Southee",51,77,0,2,2,2,51,77,0,2,2,2,KXIP
1304055.0,"Dr DY Patil Sports Academy, Mumbai", Mumbai,343050,MI,BOWL FIRST,Jos Buttler,RR,193/8,170/8,MI,RR,2022,False,"Rajasthan Royals 2, Mumbai Indians 0",20.0,170,8,"Tilak Varma , Ishan Kishan ","Jasprit Bumrah, Tymal Mills",20.0,193,8,"Jos Buttler , Shimron Hetmyer ","Yuzvendra Chahal, Navdeep Saini",50,86,34,2,2,2,48,90,55,2,2,2,RR
1304056.0,"Maharashtra Cricket Association Stadium, Pune", Pune,545380,DC,BOWL FIRST,Lockie Ferguson,GT,171/6,157/9,GT,DC,2022,False,"Gujarat Titans 2, Delhi Capitals 0",20.0,171,6,"Shubman Gill , Hardik Pandya ","Lockie Ferguson, Mohammed Shami",20.0,157,9,"Rishabh Pant , Lalit Yadav ","Mustafizur Rahman, Khaleel Ahmed",44,76,51,1,1,1,43,83,31,3,3,3,GT
1304057.0,"Brabourne Stadium, Mumbai", Mumbai,58317,CSK,BOWL FIRST,Liam Livingstone,KXIP,180/8,126,CSK,KXIP,2022,False,"Punjab Kings 2, Chennai Super Kings 0",18.0,126,10,"Shivam Dube , MS Dhoni ","Chris Jordan, Dwaine Pretorius",18.0,126,10,"Shivam Dube , MS Dhoni ","Chris Jordan, Dwaine Pretorius",27,71,28,4,4,4,27,71,28,4,4,4,KXIP
1304058.0,"Dr DY Patil Sports Academy, Mumbai", Mumbai,343050,SRH,BOWL FIRST,Avesh Khan,LSG,169/7,157/9,SRH,LSG,2022,False,"Lucknow Super Giants 2, Sunrisers Hyderabad 0",20.0,157,9,"Rahul Tripathi , Nicholas Pooran ","T Natarajan, Washington Sundar",20.0,169,7,"KL Rahul , Deepak Hooda ","Avesh Khan, Jason Holder",40,80,37,2,2,2,32,82,55,3,3,3,LSG
