id,venue_name,city,venue_id,toss_won,decision,pom,1st_innings_score,2nd_innings_score,home_team,away_team,season,super_over,points,home_pp_runs_scored,home_middle_runs_scored,home_death_runs_scored,home_pp_wickets_lost,home_middle_wickets_lost,home_death_wickets_lost,away_pp_runs_scored,away_middle_runs_scored,away_death_runs_scored,away_pp_wickets_lost,away_middle_wickets_lost,away_death_wickets_lost,home_pp_run_rate,home_middle_run_rate,home_death_run_rate,winner
1359475.0,"Narendra Modi Stadium, Ahmedabad", Ahmedabad,57851,GT,BOWL FIRST,Rashid Khan,178/7,182/5,GT,CSK,2023,False,"Gujarat Titans 2, Chennai Super Kings 0",65,73,44,1,1,1,51,82,45,2,2,2,10.833333333333334,8.11111111111111,8.8,GT
1359476.0,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh", Chandigarh,57991,KKR,BOWL FIRST,Arshdeep Singh,191/5,146/7,KXIP,KXIP,2023,False,"Punjab Kings 2, Kolkata Knight Riders 0",46,90,10,3,3,3,46,90,10,3,3,3,7.666666666666667,10.0,10.0,KXIP
1359477.0,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow", Lucknow,1070094,DC,BOWL FIRST,Mark Wood,193/6,143/9,LSG,DC,2023,False,"Lucknow Super Giants 2, Delhi Capitals 0",30,97,66,1,1,1,47,63,33,2,2,2,5.0,10.777777777777779,13.2,LSG
1359478.0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad", Hyderabad,58142,SRH,BOWL FIRST,Jos Buttler,203/5,131/8,SRH,RR,2023,False,"Rajasthan Royals 2, Sunrisers Hyderabad 0",30,55,46,2,2,2,85,75,43,1,1,1,5.0,6.111111111111111,9.2,RR
1359479.0,"M Chinnaswamy Stadium, Bengaluru", Bengaluru,57897,RCB,BOWL FIRST,Faf du Plessis,171/7,172/2,RCB,MI,2023,False,"Royal Challengers Bangalore 2, Mumbai Indians 0",53,95,24,0,0,0,29,73,69,3,3,3,8.833333333333334,10.555555555555555,12.0,RCB
1359480.0,"MA Chidambaram Stadium, Chepauk, Chennai", Chennai,58008,LSG,BOWL FIRST,Moeen Ali,217/7,205/7,CSK,LSG,2023,False,"Chennai Super Kings 2, Lucknow Super Giants 0",79,85,53,0,0,0,80,70,55,1,1,1,13.166666666666666,9.444444444444445,10.6,CSK
1359481.0,"Arun Jaitley Stadium, Delhi", Delhi,58040,GT,BOWL FIRST,Sai Sudharsan,162/8,163/4,DC,GT,2023,False,"Gujarat Titans 2, Delhi Capitals 0",52,69,41,2,2,2,54,63,46,3,3,3,8.666666666666666,7.666666666666667,8.2,GT
1359482.0,"Barsapara Cricket Stadium, Guwahati", Guwahati,680295,RR,BOWL FIRST,Nathan Ellis,197/4,192/7,RR,KXIP,2023,False,"Punjab Kings 2, Rajasthan Royals 0",57,67,68,3,3,3,57,67,68,3,3,3,9.5,7.444444444444445,13.6,KXIP
1359483.0,"Eden Gardens, Kolkata", Kolkata,57980,RCB,BOWL FIRST,Shardul Thakur,204/7,123,KKR,RCB,2023,False,"Kolkata Knight Riders 2, Royal Challengers Bangalore 0",47,93,64,2,2,2,50,52,21,2,2,2,7.833333333333333,10.333333333333334,12.8,KKR
1359484.0,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow", Lucknow,1070094,SRH,BAT FIRST,Krunal Pandya,121/8,127/5,LSG,SRH,2023,False,"Lucknow Super Giants 2, Sunrisers Hyderabad 0",45,73,9,2,2,2,43,40,38,1,1,1,7.5,8.11111111111111,9.0,LSG
