id,venue_name,city,venue_id,toss_won,decision,pom,1st_innings_score,2nd_innings_score,home_team,away_team,season,super_over,points,home_overs,home_score,home_wickets,home_key_batter,home_key_bowler,away_overs,away_score,away_wickets,away_key_batter,away_key_bowler,home_pp_runs_scored,home_middle_runs_scored,home_death_runs_scored,home_pp_wickets_lost,home_middle_wickets_lost,home_death_wickets_lost,away_pp_runs_scored,away_middle_runs_scored,away_death_runs_scored,away_pp_wickets_lost,away_middle_wickets_lost,away_death_wickets_lost,home_pp_run_rate,home_middle_run_rate,home_death_run_rate,away_pp_run_rate,away_middle_run_rate,away_death_run_rate,winner
1359475.0,"Narendra Modi Stadium, Ahmedabad", Ahmedabad,57851,GT,BOWL FIRST,Rashid Khan,178/7,182/5,GT,CSK,2023,False,"Gujarat Titans 2, Chennai Super Kings 0",19.2,182,5,"Shubman Gill , Vijay Shankar ","Rashid Khan, Mohammed Shami",20.0,178,7,"Ruturaj Gaikwad , Moeen Ali ","Rajvardhan Hangargekar, Ravindra Jadeja",65,73,44,1,1,1,51,82,45,2,2,2,10.833333333333334,8.11111111111111,8.8,8.5,9.11111111111111,9.0,GT
1359476.0,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh", Chandigarh,57991,KKR,BOWL FIRST,Arshdeep Singh,191/5,146/7,KXIP,KXIP,2023,False,"Punjab Kings 2, Kolkata Knight Riders 0",16.0,146,7,"Andre Russell , Venkatesh Iyer ","Tim Southee, Varun Chakravarthy",16.0,146,7,"Andre Russell , Venkatesh Iyer ","Tim Southee, Varun Chakravarthy",46,90,10,3,3,3,46,90,10,3,3,3,7.666666666666667,10.0,10.0,7.666666666666667,10.0,10.0,KXIP
1359477.0,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow", Lucknow,1070094,DC,BOWL FIRST,Mark Wood,193/6,143/9,LSG,DC,2023,False,"Lucknow Super Giants 2, Delhi Capitals 0",20.0,193,6,"Kyle Mayers , Nicholas Pooran ","Mark Wood, Avesh Khan",20.0,143,9,"David Warner , Rilee Rossouw ","Khaleel Ahmed, Chetan Sakariya",30,97,66,1,1,1,47,63,33,2,2,2,5.0,10.777777777777779,13.2,7.833333333333333,7.0,6.6,LSG
1359478.0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad", Hyderabad,58142,SRH,BOWL FIRST,Jos Buttler,203/5,131/8,SRH,RR,2023,False,"Rajasthan Royals 2, Sunrisers Hyderabad 0",20.0,131,8,"Abdul Samad *, Mayank Agarwal ","T Natarajan, Fazalhaq Farooqi",20.0,203,5,"Sanju Samson , Jos Buttler ","Yuzvendra Chahal, Trent Boult",30,55,46,2,2,2,85,75,43,1,1,1,5.0,6.111111111111111,9.2,14.166666666666666,8.333333333333334,8.6,RR
1359479.0,"M Chinnaswamy Stadium, Bengaluru", Bengaluru,57897,RCB,BOWL FIRST,Faf du Plessis,171/7,172/2,RCB,MI,2023,False,"Royal Challengers Bangalore 2, Mumbai Indians 0",16.2,172,2,"Virat Kohli *, Faf du Plessis ","Karn Sharma, Mohammed Siraj",20.0,171,7,"Tilak Varma *, Nehal Wadhera ","Arshad Khan, Cameron Green",53,95,24,0,0,0,29,73,69,3,3,3,8.833333333333334,10.555555555555555,12.0,4.833333333333333,8.11111111111111,13.8,RCB
1359480.0,"MA Chidambaram Stadium, Chepauk, Chennai", Chennai,58008,LSG,BOWL FIRST,Moeen Ali,217/7,205/7,CSK,LSG,2023,False,"Chennai Super Kings 2, Lucknow Super Giants 0",20.0,217,7,"Ruturaj Gaikwad , Devon Conway ","Moeen Ali, Tushar Deshpande",20.0,205,7,"Kyle Mayers , Nicholas Pooran ","Ravi Bishnoi, Mark Wood",79,85,53,0,0,0,80,70,55,1,1,1,13.166666666666666,9.444444444444445,10.6,13.333333333333334,7.777777777777778,11.0,CSK
1359481.0,"Arun Jaitley Stadium, Delhi", Delhi,58040,GT,BOWL FIRST,Sai Sudharsan,162/8,163/4,DC,GT,2023,False,"Gujarat Titans 2, Delhi Capitals 0",20.0,162,8,"David Warner , Axar Patel ","Anrich Nortje, Mitchell Marsh",18.1,163,4,"Sai Sudharsan *, David Miller *","Rashid Khan, Mohammed Shami",52,69,41,2,2,2,54,63,46,3,3,3,8.666666666666666,7.666666666666667,8.2,9.0,7.0,11.5,GT
1359482.0,"Barsapara Cricket Stadium, Guwahati", Guwahati,680295,RR,BOWL FIRST,Nathan Ellis,197/4,192/7,RR,KXIP,2023,False,"Punjab Kings 2, Rajasthan Royals 0",20.0,192,7,"Sanju Samson , Shimron Hetmyer ","Jason Holder, Ravichandran Ashwin",20.0,192,7,"Sanju Samson , Shimron Hetmyer ","Jason Holder, Ravichandran Ashwin",57,67,68,3,3,3,57,67,68,3,3,3,9.5,7.444444444444445,13.6,9.5,7.444444444444445,13.6,KXIP
1359483.0,"Eden Gardens, Kolkata", Kolkata,57980,RCB,BOWL FIRST,Shardul Thakur,204/7,123,KKR,RCB,2023,False,"Kolkata Knight Riders 2, Royal Challengers Bangalore 0",20.0,204,7,"Shardul Thakur , Rahmanullah Gurbaz ","Varun Chakravarthy, Suyash Sharma",17.4,123,10,"Faf du Plessis , Virat Kohli ","David Willey, Karn Sharma",47,93,64,2,2,2,50,52,21,2,2,2,7.833333333333333,10.333333333333334,12.8,8.333333333333334,5.777777777777778,7.0,KKR
1359484.0,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow", Lucknow,1070094,SRH,BAT FIRST,Krunal Pandya,121/8,127/5,LSG,SRH,2023,False,"Lucknow Super Giants 2, Sunrisers Hyderabad 0",16.0,127,5,"KL Rahul , Krunal Pandya ","Krunal Pandya, Amit Mishra",20.0,121,8,"Rahul Tripathi , Anmolpreet Singh ","Adil Rashid, Fazalhaq Farooqi",45,73,9,2,2,2,43,40,38,1,1,1,7.5,8.11111111111111,9.0,7.166666666666667,4.444444444444445,7.6,LSG
