id,venue_name,city,venue_id,decision,pom,1st_innings_score,2nd_innings_score,home_team,away_team,season,super_over,points,toss_won,winner,home_overs,home_score,home_wickets,home_key_batter,home_key_bowler,away_overs,away_score,away_wickets,away_key_batter,away_key_bowler,home_pp_runs_scored,home_middle_runs_scored,home_death_runs_scored,home_pp_wickets_lost,home_middle_wickets_lost,home_death_wickets_lost,away_pp_runs_scored,away_middle_runs_scored,away_death_runs_scored,away_pp_wickets_lost,away_middle_wickets_lost,away_death_wickets_lost,home_pp_run_rate,home_middle_run_rate,home_death_run_rate,away_pp_run_rate,away_middle_run_rate,away_death_run_rate
335982,"M Chinnaswamy Stadium, Bangalore", Bangalore,57897,BOWL FIRST,Brendon McCullum,222/3,82,RCB,KKR,2008,FALSE,"Kolkata Knight Riders 2, Royal Challengers Bangalore 0",RCB,KKR,15.1,82,10,"Praveen Kumar *, Ashley Noffke ","Zaheer Khan, Ashley Noffke",20,222,3,"Brendon McCullum *, Ricky Ponting ","Ajit Agarkar, Ashok Dinda",26,55,1,4,4,4,61,93,68,1,1,1,4.333333333,6.111111111,1,10.16666667,10.33333333,13.6
335983,"Punjab Cricket Association Stadium, Mohali, Chandigarh", Chandigarh,57991,BAT FIRST,Michael Hussey,240/5,207/4,KXIP,CSK,2008,FALSE,"Chennai Super Kings 2, Kings XI Punjab 0",CSK,CSK,20,207,4,"James Hopes , Kumar Sangakkara ","Irfan Pathan, Brett Lee",20,240,5,"Michael Hussey *, Suresh Raina ","Muthiah Muralidaran, Manpreet Gony",63,102,42,1,1,1,53,108,79,1,1,1,10.5,11.33333333,8.4,8.833333333,12,15.8
335984,"Feroz Shah Kotla, Delhi", Delhi,58040,BAT FIRST,Farveez Maharoof,129/8,132/1,DC,RR,2008,FALSE,"Delhi Daredevils 2, Rajasthan Royals 0",RR,DC,15.1,132,1,"Gautam Gambhir *, Shikhar Dhawan *","Farveez Maharoof, Rajat Bhatia",20,129,8,"Ravindra Jadeja , Dinesh Salunkhe *","Shane Watson, Yusuf Pathan",55,73,4,1,1,1,40,56,33,2,2,2,9.166666667,8.111111111,4,6.666666667,6.222222222,6.6
335985,"Wankhede Stadium, Mumbai", Mumbai,58324,BAT FIRST,Mark Boucher,165/6,166/5,MI,RCB,2008,FALSE,"Royal Challengers Bangalore 2, Mumbai Indians 0",MI,RCB,20,165,6,"Robin Uthappa , Sanath Jayasuriya ","Harbhajan Singh, Dhawal Kulkarni",19.4,166,5,"Mark Boucher *, Rahul Dravid ","Zaheer Khan, Balachandra Akhil",47,58,60,2,2,2,40,78,48,1,1,1,7.833333333,6.444444444,12,6.666666667,8.666666667,9.6
335986,"Eden Gardens, Kolkata", Kolkata,57980,BAT FIRST,David Hussey,110,112/5,KKR,SRH,2008,FALSE,"Kolkata Knight Riders 2, Deccan Chargers 0",SRH,KKR,19,112,5,"David Hussey *, Sourav Ganguly ","Murali Kartik, Ajit Agarkar",19,112,5,"David Hussey *, Sourav Ganguly ","Murali Kartik, Ajit Agarkar",26,55,31,3,3,3,26,55,31,3,3,3,4.333333333,6.111111111,7.75,4.333333333,6.111111111,7.75
335987,"Sawai Mansingh Stadium, Jaipur", Jaipur,58162,BAT FIRST,Shane Watson,166/8,168/4,RR,KXIP,2008,FALSE,"Rajasthan Royals 2, Kings XI Punjab 0",KXIP,RR,18.1,168,4,"Shane Watson *, Ravindra Jadeja *","Shane Warne, Siddharth Trivedi",20,166,8,"Yuvraj Singh , Karan Goel ","Irfan Pathan, James Hopes",53,89,26,3,3,3,54,61,51,1,1,1,8.833333333,9.888888889,6.5,9,6.777777778,10.2
335988,"Rajiv Gandhi International Stadium, Uppal, Hyderabad", Hyderabad,58142,BAT FIRST,Virender Sehwag,142/8,143/1,SRH,DC,2008,FALSE,"Delhi Daredevils 2, Deccan Chargers 0",SRH,DC,13,143,1,"Virender Sehwag *, Shikhar Dhawan *","Mohammad Asif, Rajat Bhatia",20,142,8,"Rohit Sharma , Venugopal Rao ","RP Singh, Pragyan Ojha",48,94,0,1,1,1,25,44,60,2,2,2,8,13.42857143,0,4.166666667,4.888888889,0
335989,"MA Chidambaram Stadium, Chepauk, Chennai", Chennai,58008,BOWL FIRST,Matthew Hayden,208/5,202/7,CSK,MI,2008,FALSE,"Chennai Super Kings 2, Mumbai Indians 0",MI,CSK,20,208,5,"Matthew Hayden , Suresh Raina ","Joginder Sharma, Muthiah Muralidaran",20,202,7,"Abhishek Nayar *, Robin Uthappa ","Musavir Khote, Dhawal Kulkarni",53,90,65,2,2,2,52,82,68,2,2,2,8.833333333,10,13,8.666666667,9.111111111,13.6
335990,"Rajiv Gandhi International Stadium, Uppal, Hyderabad", Hyderabad,58142,BOWL FIRST,Yusuf Pathan,214/5,217/7,SRH,RR,2008,FALSE,"Rajasthan Royals 2, Deccan Chargers 0",RR,RR,19.5,217,7,"Graeme Smith , Yusuf Pathan ","Yusuf Pathan, Shane Warne",19.5,217,7,"Graeme Smith , Yusuf Pathan ","Yusuf Pathan, Shane Warne",73,86,58,1,1,1,73,86,58,1,1,1,12.16666667,9.555555556,11.6,12.16666667,9.555555556,11.6
335991,"Punjab Cricket Association Stadium, Mohali, Chandigarh", Chandigarh,57991,BOWL FIRST,Kumar Sangakkara,182,116/9,KXIP,MI,2008,FALSE,"Kings XI Punjab 2, Mumbai Indians 0",MI,KXIP,20,182,10,"Kumar Sangakkara , Yuvraj Singh ","Piyush Chawla, Irfan Pathan",20,116,9,"Dwayne Bravo , Shaun Pollock ","Harbhajan Singh, Ashish Nehra",60,78,44,1,1,1,39,62,15,2,2,2,10,8.666666667,8.8,6.5,6.888888889,3
335992,"M Chinnaswamy Stadium, Bangalore", Bangalore,57897,BOWL FIRST,Shane Watson,135/8,138/3,RCB,RR,2008,FALSE,"Rajasthan Royals 2, Royal Challengers Bangalore 0",RR,RR,20,135,8,"Ross Taylor , Praveen Kumar ","Zaheer Khan, Sunil Joshi",17.1,138,3,"Shane Watson *, Graeme Smith ","Shane Watson, Munaf Patel",57,38,40,2,2,2,45,76,17,2,2,2,9.5,4.222222222,8,7.5,8.444444444,5.666666667
