rank,Player,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4,team,bowler_surname,year,season,bowler,overall_key_count,home_key_count,away_key_count,team_position,Team Name
1,Mohammed Shami (GT),13,13,306,51.0,2,385,23,4/11,4/11,16.73,7.54,13.30,2,GT,Shami,2023,2023,Mohammed Shami,6.0,4.0,2.0,1.0,Gujarat Titans
2,Rashid Khan (GT),13,13,312,52.0,-,414,23,4/30,4/30,18.00,7.96,13.56,1,GT,Khan,2023,2023,Rashid Khan,9.0,5.0,4.0,1.0,Gujarat Titans
3,YS Chahal (RR),13,13,293,48.5,-,392,21,4/17,4/17,18.66,8.02,13.95,3,RR,Chahal,2023,2023,Yuzvendra Chahal,6.0,3.0,3.0,6.0,Rajasthan Royals
4,PP Chawla (MI),13,13,300,50.0,-,383,20,3/22,3/22,19.14,7.66,15.00,-,MI,Chawla,2023,2023,Piyush Chawla,10.0,5.0,5.0,5.0,Mumbai Indians
5,CV Varun (KKR),13,13,292,48.4,1,391,19,4/15,4/15,20.57,8.03,15.36,1,KKR,Varun,2023,2023,,,,,7.0,Kolkata Knight Riders
6,TU Deshpande (CSK),13,13,269,44.5,-,439,19,3/45,3/45,23.10,9.79,14.15,-,CSK,Deshpande,2023,2023,Tushar Deshpande,7.0,4.0,3.0,2.0,Chennai Super Kings
7,MM Sharma (GT),10,10,185,30.5,-,230,17,4/28,4/28,13.52,7.45,10.88,2,GT,Sharma,2023,2023,Mohit Sharma,7.0,4.0,3.0,1.0,Gujarat Titans
8,Mohammed Siraj (RCB),13,13,276,46.0,-,343,17,4/21,4/21,20.17,7.45,16.23,1,RCB,Siraj,2023,2023,Mohammed Siraj,4.0,4.0,0.0,4.0,Royal Challengers Bangalore
9,RA Jadeja (CSK),13,13,270,45.0,-,325,16,3/20,3/20,20.30,7.22,16.87,-,CSK,Jadeja,2023,2023,Ravindra Jadeja,5.0,3.0,2.0,2.0,Chennai Super Kings
10,Arshdeep Singh (PBKS),13,13,281,46.5,-,453,16,4/29,4/29,28.31,9.67,17.56,1,PBKS,Singh,2023,2023,Arshdeep Singh,3.0,1.0,2.0,8.0,Punjab Kings
