rank,Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,team,batter_surname,year,season,batter,overall_key_count,home_key_count,away_key_count,team_position,Team Name
1,F du Plessis (RCB),13,13,1,702,84,58.5,456,153.94,-,8,-,55,36,RCB,duPlessis,2023,2023,Faf du Plessis,4,1,3,4,Royal Challengers Bangalore
2,Shubman Gill (GT),13,13,1,576,101,48,394,146.19,1,4,1,62,14,GT,Gill,2023,2023,Shubman Gill,6,5,1,1,Gujarat Titans
3,YBK Jaiswal (RR),13,13,1,575,124,47.91,346,166.18,1,4,1,74,26,RR,Jaiswal,2023,2023,Yashasvi Jaiswal,4,2,2,6,Rajasthan Royals
4,V Kohli (RCB),13,13,1,538,100,44.83,396,135.85,1,6,1,52,15,RCB,Kohli,2023,2023,Virat Kohli,4,3,1,4,Royal Challengers Bangalore
5,DP Conway (CSK),13,12,2,498,92*,49.8,370,134.59,-,5,1,58,13,CSK,Conway,2023,2023,Devon Conway,5,4,1,2,Chennai Super Kings
6,SA Yadav (MI),13,13,1,486,103*,40.5,260,186.92,1,4,1,52,24,MI,Yadav,2023,2023,Suryakumar Yadav ,6,3,3,5,Mumbai Indians
7,H Klaasen (SRH),11,10,2,430,104,53.75,240,179.16,1,2,-,30,25,SRH,Klaasen,2023,2023,Heinrich Klaasen ,4,3,1,10,Sunrisers Hyderabad
8,DA Warner (DC),13,13,0,430,65,33.07,334,128.74,-,5,2,62,5,DC,Warner,2023,2023,David Warner,6,3,3,9,Delhi Capitals
9,RD Gaikwad (CSK),13,12,1,425,92,38.63,290,146.55,-,2,-,33,21,CSK,Gaikwad,2023,2023,Ruturaj Gaikwad ,6,4,2,2,Chennai Super Kings
10,Ishan Kishan (MI),13,13,0,425,75,32.69,294,144.55,-,3,-,50,17,MI,Kishan,2023,2023,Ishan Kishan,4,3,1,5,Mumbai Indians
11,RK Singh (KKR),13,13,5,407,58*,50.87,284,143.3,-,3,-,25,25,KKR,Singh,2023,2023,Rinku Singh ,4,2,2,7,Kolkata Knight Riders
12,N Rana (KKR),13,13,1,405,75,33.75,283,143.1,-,3,-,38,20,KKR,Rana,2023,2023,Nitish Rana,4,2,2,7,Kolkata Knight Riders
13,JC Buttler (RR),13,13,0,392,95,30.15,278,141,-,4,4,42,14,RR,Buttler,2023,2023,Jos Buttler ,3,1,2,6,Rajasthan Royals
14,GJ Maxwell (RCB),13,13,2,389,77,35.36,213,182.62,-,5,2,28,30,RCB,Maxwell,2023,2023,Glenn Maxwell,3,2,1,4,Royal Challengers Bangalore
15,VR Iyer (KKR),13,13,0,380,104,29.23,262,145.03,1,2,1,29,20,KKR,Iyer,2023,2023,Venkatesh Iyer,3,1,2,7,Kolkata Knight Riders
