,id,venue_name,city,venue_id,toss_won,decision,pom,points,super_over,team1_overs,team2_overs,winner,team1_key_batters,team1_key_bowlers,team2_key_batters,team2_key_bowlers,date,description,team1,team2,team1_score,team1_runs,team1_wickets,team2_score,team2_runs,team2_wickets,result,live_score_link,match_overs_link,team1_pp_runs_scored,team1_middle_runs_scored,team1_death_runs_scored,team1_pp_run_rate,team1_middle_run_rate,team1_death_run_rate,team1_pp_wickets_lost,team1_middle_wickets_lost,team1_death_wickets_lost,team2_pp_runs_scored,team2_middle_runs_scored,team2_death_runs_scored,team2_pp_run_rate,team2_middle_run_rate,team2_death_run_rate,team2_pp_wickets_lost,team2_middle_wickets_lost,team2_death_wickets_lost,home_team,season,away_team
0,1359475,"Narendra Modi Stadium, Ahmedabad", Ahmedabad,57851,Gujarat Titans,BOWL FIRST,Rashid Khan,"Gujarat Titans 2, Chennai Super Kings 0",False,20,19.2,GT,"Ruturaj Gaikwad , Moeen Ali ","Rajvardhan Hangargekar, Ravindra Jadeja","Shubman Gill , Vijay Shankar ","Rashid Khan, Mohammed Shami", March 31 2023,"1st Match (N), Ahmedabad, March 31, 2023, Indian Premier League",CSK,GT,178/7,178,7,182/5,182,5,Titans won by 5 wickets (with 4 balls remaining),/series/indian-premier-league-2023-1345038/gujarat-titans-vs-chennai-super-kings-1st-match-1359475/live-cricket-score,/series/indian-premier-league-2023-1345038/gujarat-titans-vs-chennai-super-kings-1st-match-1359475/match-overs-comparison,51,82,45,8.5,9.11111111111111,9.0,2,2,3,65,73,44,10.833333333333334,8.11111111111111,8.8,1,3,1,GT,2023,CSK
1,1359476,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh", Chandigarh,57991,Kolkata Knight Riders,BOWL FIRST,Arshdeep Singh,"Punjab Kings 2, Kolkata Knight Riders 0",False,20,16,PBKS,"Bhanuka Rajapaksa , Shikhar Dhawan ","Arshdeep Singh, Rahul Chahar","Andre Russell , Venkatesh Iyer ","Tim Southee, Varun Chakravarthy", April 01 2023,"2nd Match (D/N), Mohali, April 01, 2023, Indian Premier League",PBKS,KKR,191/5,191,5,146/7,146,7,Punjab Kings won by 7 runs (DLS method),/series/indian-premier-league-2023-1345038/punjab-kings-vs-kolkata-knight-riders-2nd-match-1359476/live-cricket-score,/series/indian-premier-league-2023-1345038/punjab-kings-vs-kolkata-knight-riders-2nd-match-1359476/match-overs-comparison,56,87,48,9.333333333333334,9.666666666666666,9.6,1,3,1,46,90,10,7.666666666666667,10.0,10.0,3,3,1,KXIP,2023,KKR
2,1359477,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow", Lucknow,1070094,Delhi Capitals,BOWL FIRST,Mark Wood,"Lucknow Super Giants 2, Delhi Capitals 0",False,20,20,LSG,"Kyle Mayers , Nicholas Pooran ","Mark Wood, Avesh Khan","David Warner , Rilee Rossouw ","Khaleel Ahmed, Chetan Sakariya", April 01 2023,"3rd Match (N), Lucknow, April 01, 2023, Indian Premier League",LSG,DC,193/6,193,6,143/9,143,9,Super Giants won by 50 runs,/series/indian-premier-league-2023-1345038/lucknow-super-giants-vs-delhi-capitals-3rd-match-1359477/live-cricket-score,/series/indian-premier-league-2023-1345038/lucknow-super-giants-vs-delhi-capitals-3rd-match-1359477/match-overs-comparison,30,97,66,5.0,10.777777777777779,13.2,1,3,2,47,63,33,7.833333333333333,7.0,6.6,2,3,4,LSG,2023,DC
3,1359478,"Rajiv Gandhi International Stadium, Uppal, Hyderabad", Hyderabad,58142,Sunrisers Hyderabad,BOWL FIRST,Jos Buttler,"Rajasthan Royals 2, Sunrisers Hyderabad 0",False,20,20,RR,"Sanju Samson , Jos Buttler ","Yuzvendra Chahal, Trent Boult","Abdul Samad *, Mayank Agarwal ","T Natarajan, Fazalhaq Farooqi", April 02 2023,"4th Match (D/N), Hyderabad, April 02, 2023, Indian Premier League",RR,SRH,203/5,203,5,131/8,131,8,Royals won by 72 runs,/series/indian-premier-league-2023-1345038/sunrisers-hyderabad-vs-rajasthan-royals-4th-match-1359478/live-cricket-score,/series/indian-premier-league-2023-1345038/sunrisers-hyderabad-vs-rajasthan-royals-4th-match-1359478/match-overs-comparison,85,75,43,14.166666666666666,8.333333333333334,8.6,1,2,2,30,55,46,5.0,6.111111111111111,9.2,2,5,1,SRH,2023,RR
4,1359479,"M Chinnaswamy Stadium, Bengaluru", Bengaluru,57897,Royal Challengers Bangalore,BOWL FIRST,Faf du Plessis,"Royal Challengers Bangalore 2, Mumbai Indians 0",False,20,16.2,RCB,"Tilak Varma *, Nehal Wadhera ","Arshad Khan, Cameron Green","Virat Kohli *, Faf du Plessis ","Karn Sharma, Mohammed Siraj", April 02 2023,"5th Match (N), Bengaluru, April 02, 2023, Indian Premier League",MI,RCB,171/7,171,7,172/2,172,2,RCB won by 8 wickets (with 22 balls remaining),/series/indian-premier-league-2023-1345038/royal-challengers-bangalore-vs-mumbai-indians-5th-match-1359479/live-cricket-score,/series/indian-premier-league-2023-1345038/royal-challengers-bangalore-vs-mumbai-indians-5th-match-1359479/match-overs-comparison,29,73,69,4.833333333333333,8.11111111111111,13.8,3,2,2,53,95,24,8.833333333333334,10.555555555555555,12.0,0,1,1,RCB,2023,MI
5,1359480,"MA Chidambaram Stadium, Chepauk, Chennai", Chennai,58008,Lucknow Super Giants,BOWL FIRST,Moeen Ali,"Chennai Super Kings 2, Lucknow Super Giants 0",False,20,20,CSK,"Ruturaj Gaikwad , Devon Conway ","Moeen Ali, Tushar Deshpande","Kyle Mayers , Nicholas Pooran ","Ravi Bishnoi, Mark Wood", April 03 2023,"6th Match (N), Chennai, April 03, 2023, Indian Premier League",CSK,LSG,217/7,217,7,205/7,205,7,Super Kings won by 12 runs,/series/indian-premier-league-2023-1345038/chennai-super-kings-vs-lucknow-super-giants-6th-match-1359480/live-cricket-score,/series/indian-premier-league-2023-1345038/chennai-super-kings-vs-lucknow-super-giants-6th-match-1359480/match-overs-comparison,79,85,53,13.166666666666666,9.444444444444445,10.6,0,3,4,80,70,55,13.333333333333334,7.777777777777778,11.0,1,4,2,CSK,2023,LSG
6,1359481,"Arun Jaitley Stadium, Delhi", Delhi,58040,Gujarat Titans,BOWL FIRST,Sai Sudharsan,"Gujarat Titans 2, Delhi Capitals 0",False,20,18.1,GT,"David Warner , Axar Patel ","Anrich Nortje, Mitchell Marsh","Sai Sudharsan *, David Miller *","Rashid Khan, Mohammed Shami", April 04 2023,"7th Match (N), Delhi, April 04, 2023, Indian Premier League",DC,GT,162/8,162,8,163/4,163,4,Titans won by 6 wickets (with 11 balls remaining),/series/indian-premier-league-2023-1345038/delhi-capitals-vs-gujarat-titans-7th-match-1359481/live-cricket-score,/series/indian-premier-league-2023-1345038/delhi-capitals-vs-gujarat-titans-7th-match-1359481/match-overs-comparison,52,69,41,8.666666666666666,7.666666666666667,8.2,2,3,3,54,63,46,9.0,7.0,11.5,3,1,0,DC,2023,GT
7,1359482,"Barsapara Cricket Stadium, Guwahati", Guwahati,680295,Rajasthan Royals,BOWL FIRST,Nathan Ellis,"Punjab Kings 2, Rajasthan Royals 0",False,20,20,PBKS,"Shikhar Dhawan *, Prabhsimran Singh ","Nathan Ellis, Arshdeep Singh","Sanju Samson , Shimron Hetmyer ","Jason Holder, Ravichandran Ashwin", April 05 2023,"8th Match (N), Guwahati, April 05, 2023, Indian Premier League",PBKS,RR,197/4,197,4,192/7,192,7,Punjab Kings won by 5 runs,/series/indian-premier-league-2023-1345038/rajasthan-royals-vs-punjab-kings-8th-match-1359482/live-cricket-score,/series/indian-premier-league-2023-1345038/rajasthan-royals-vs-punjab-kings-8th-match-1359482/match-overs-comparison,63,89,45,10.5,9.88888888888889,9.0,0,1,3,57,67,68,9.5,7.444444444444445,13.6,3,3,1,RR,2023,PBKS
8,1359483,"Eden Gardens, Kolkata", Kolkata,57980,Royal Challengers Bangalore,BOWL FIRST,Shardul Thakur,"Kolkata Knight Riders 2, Royal Challengers Bangalore 0",False,20,17.4,KKR,"Shardul Thakur , Rahmanullah Gurbaz ","Varun Chakravarthy, Suyash Sharma","Faf du Plessis , Virat Kohli ","David Willey, Karn Sharma", April 06 2023,"9th Match (N), Eden Gardens, April 06, 2023, Indian Premier League",KKR,RCB,204/7,204,7,123,123,10,KKR won by 81 runs,/series/indian-premier-league-2023-1345038/kolkata-knight-riders-vs-royal-challengers-bangalore-9th-match-1359483/live-cricket-score,/series/indian-premier-league-2023-1345038/kolkata-knight-riders-vs-royal-challengers-bangalore-9th-match-1359483/match-overs-comparison,47,93,64,7.833333333333333,10.333333333333334,12.8,2,3,2,50,52,21,8.333333333333334,5.777777777777778,7.0,2,7,1,KKR,2023,RCB
9,1359484,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow", Lucknow,1070094,Sunrisers Hyderabad,BAT FIRST,Krunal Pandya,"Lucknow Super Giants 2, Sunrisers Hyderabad 0",False,20,16,LSG,"Rahul Tripathi , Anmolpreet Singh ","Adil Rashid, Fazalhaq Farooqi","KL Rahul , Krunal Pandya ","Krunal Pandya, Amit Mishra", April 07 2023,"10th Match (N), Lucknow, April 07, 2023, Indian Premier League",SRH,LSG,121/8,121,8,127/5,127,5,Super Giants won by 5 wickets (with 24 balls remaining),/series/indian-premier-league-2023-1345038/lucknow-super-giants-vs-sunrisers-hyderabad-10th-match-1359484/live-cricket-score,/series/indian-premier-league-2023-1345038/lucknow-super-giants-vs-sunrisers-hyderabad-10th-match-1359484/match-overs-comparison,43,40,38,7.166666666666667,4.444444444444445,7.6,1,3,4,45,73,9,7.5,8.11111111111111,9.0,2,3,0,LSG,2023,SRH
10,1359485,"Barsapara Cricket Stadium, Guwahati", Guwahati,680295,Delhi Capitals,BOWL FIRST,Yashasvi Jaiswal,"Rajasthan Royals 2, Delhi Capitals 0",False,20,20,RR,"Jos Buttler , Yashasvi Jaiswal ","Yuzvendra Chahal, Trent Boult","David Warner , Lalit Yadav ","Mukesh Kumar, Kuldeep Yadav", April 08 2023,"11th Match (D/N), Guwahati, April 08, 2023, Indian Premier League",RR,DC,199/4,199,4,142/9,142,9,Royals won by 57 runs,/series/indian-premier-league-2023-1345038/rajasthan-royals-vs-delhi-capitals-11th-match-1359485/live-cricket-score,/series/indian-premier-league-2023-1345038/rajasthan-royals-vs-delhi-capitals-11th-match-1359485/match-overs-comparison,68,62,69,11.333333333333334,6.888888888888889,13.8,0,3,1,38,75,29,6.333333333333333,8.333333333333334,5.8,3,2,4,RR,2023,DC
11,1359486,"Wankhede Stadium, Mumbai", Mumbai,58324,Chennai Super Kings,BOWL FIRST,Ravindra Jadeja,"Chennai Super Kings 2, Mumbai Indians 0",False,20,18.1,CSK,"Ishan Kishan , Tim David ","Kumar Kartikeya, Jason Behrendorff","Ajinkya Rahane , Ruturaj Gaikwad *","Ravindra Jadeja, Mitchell Santner", April 08 2023,"12th Match (N), Wankhede, April 08, 2023, Indian Premier League",MI,CSK,157/8,157,8,159/3,159,3,Super Kings won by 7 wickets (with 11 balls remaining),/series/indian-premier-league-2023-1345038/mumbai-indians-vs-chennai-super-kings-12th-match-1359486/live-cricket-score,/series/indian-premier-league-2023-1345038/mumbai-indians-vs-chennai-super-kings-12th-match-1359486/match-overs-comparison,61,48,48,10.166666666666666,5.333333333333333,9.6,1,5,2,68,66,25,11.333333333333334,7.333333333333333,6.25,1,2,0,MI,2023,CSK
