,full name,born,age,batting style,bowling style,playing role,pos_batting_clutch_metric,neg_batting_clutch_metric,pos_bowling_clutch_metric,neg_bowling_clutch_metric,fielding position,also known as,nicknames,height,education
226492,martin james guptill,"september 30, 1986, auckland",37y 262d,right hand bat,right arm offbreak,opening batter,0,0,0,0,,,,,
625964,tim louis seifert,"december 14, 1994, wanganui",29y 187d,right hand bat,,wicketkeeper batter,0,0,0,0,wicketkeeper,,,,
277906,kane stuart williamson,"august 08, 1990, tauranga",33y 315d,right hand bat,right arm offbreak,top order batter,0,0,0,0,,,,,
379140,devon philip conway,"july 08, 1991, johannesburg, transvaal",32y 346d,left hand bat,right arm medium,wicketkeeper batter,0,0,0,0,occasional wicketkeeper,,,,
823509,glenn dominic phillips,"december 06, 1996, east london, eastern cape, south africa",27y 195d,right hand bat,right arm offbreak,allrounder,0,0,0,0,wicketkeeper,,,,
355269,james douglas sheahan neesham,"september 17, 1990, auckland",33y 275d,left hand bat,right arm medium fast,batting allrounder,0,0,0,0,,jimmy neesham,,,
539548,scott christopher kuggeleijn,"january 03, 1992, hamilton",32y 167d,right hand bat,right arm fast medium,bowling allrounder,0,0,0,0,,,,,
232364,timothy grant southee,"december 11, 1988, whangarei, northland",35y 190d,right hand bat,right arm medium fast,bowler,0,0,0,0,,,,,
625960,kyle alex jamieson,"december 30, 1994, auckland",29y 171d,right hand bat,right arm fast medium,bowler,0,0,0,0,,,,,
323389,mohammad rizwan,"june 01, 1992, peshawar, khyber pakhtunkhwa",32y 17d,right hand bat,right arm medium,wicketkeeper batter,0,0,0,0,wicketkeeper,,"rizi, rizu",5ft 7in,
1168651,haider ali,"october 02, 2000, attock",23y 260d,right hand bat,,middle order batter,0,0,0,0,,,,,
41434,mohammad hafeez,"october 17, 1980, sargodha, punjab",43y 245d,right hand bat,right arm offbreak,allrounder,0,0,0,0,,,,,
716733,khushdil shah,"february 07, 1995, bannu, north-west frontier province",29y 132d,left hand bat,slow left arm orthodox,middle order batter,0,0,0,0,,,,,
681117,faheem ashraf,"january 16, 1994, kasur (punjab)",30y 154d,left hand bat,right arm medium,bowling allrounder,0,0,0,0,,,,,
922943,shadab khan,"october 04, 1998, mianwali",25y 258d,right hand bat,legbreak,allrounder,0,0,0,0,,,,,
480603,iftikhar ahmed,"september 03, 1990, peshawar, north-west frontier province",33y 289d,right hand bat,right arm offbreak,middle order batter,0,0,0,0,,,,,
628240,mohammad hussain talat,"february 12, 1996, lahore, punjab",28y 127d,left hand bat,right arm medium fast,allrounder,0,0,0,0,,,,,
277912,trent alexander boult,"july 22, 1989, rotorua",34y 332d,right hand bat,left arm fast medium,bowler,0,0,0,0,,,,,
559066,inderbir singh sodhi,"october 31, 1992, ludhiana, india",31y 231d,right hand bat,legbreak,bowler,0,0,0,0,,,,,
1072470,shaheen shah afridi,"april 06, 2000, khyber agency",24y 73d,left hand bat,left arm fast,bowler,0,0,0,0,,,,,
1158100,mohammad hasnain,"april 05, 2000, hyderabad",24y 74d,right hand bat,right arm fast,bowler,0,0,0,0,,,,,
1161606,haris rauf,"november 07, 1993",30y 224d,right hand bat,right arm fast,bowler,0,0,0,0,,,,5ft 11in,
922941,abdullah shafique,"november 20, 1999, sialkot",24y 211d,right hand bat,right arm offbreak,top order batter,0,0,0,0,,,,,
227758,syed imad wasim,"december 18, 1988, swansea, glamorgan, wales",35y 183d,left hand bat,slow left arm orthodox,allrounder,0,0,0,0,,,,,
43590,wahab riaz,"june 28, 1985, lahore, punjab",38y 356d,right hand bat,left arm fast,bowler,0,0,0,0,,vicky,,,
438563,mark sinclair chapman,"june 27, 1994, hong kong",29y 357d,left hand bat,slow left arm orthodox,allrounder,0,0,0,0,,,,,"king's college, auckland"
502714,mitchell josef santner,"february 05, 1992, hamilton",32y 134d,left hand bat,slow left arm orthodox,bowling allrounder,0,0,0,0,,,,,
547766,jacob andrew duffy,"august 02, 1994, lumsden, southland",29y 321d,right hand bat,right arm fast medium,bowler,0,0,0,0,,,,,
854909,blair marshall tickner,"october 13, 1993, napier, hawke's bay",30y 249d,right hand bat,right arm medium fast,bowler,0,0,0,0,,,,,
