player_id,national_team_name,national_team_id,full name,born,age,batting style,playing role,2024_neg_batting_clutch_metric,2024_matches_played,2024_pos_batting_clutch_metric,2023_pos_batting_clutch_metric,2023_matches_played,2023_neg_batting_clutch_metric,2022_neg_batting_clutch_metric,2022_matches_played,2022_pos_batting_clutch_metric,2021_neg_batting_clutch_metric,2021_matches_played,2020_neg_batting_clutch_metric,2020_matches_played,2020_pos_batting_clutch_metric,2019_neg_batting_clutch_metric,2019_matches_played,2019_pos_batting_clutch_metric,fielding position,2016_neg_batting_clutch_metric,2016_matches_played,2016_pos_batting_clutch_metric,2015_pos_batting_clutch_metric,2015_matches_played,2015_neg_batting_clutch_metric,2014_neg_batting_clutch_metric,2014_matches_played,2013_neg_batting_clutch_metric,2013_matches_played,2013_pos_batting_clutch_metric,2012_pos_batting_clutch_metric,2012_matches_played,2012_neg_batting_clutch_metric,2011_pos_batting_clutch_metric,2011_matches_played,2011_neg_batting_clutch_metric,bowling style,2021_pos_batting_clutch_metric,2018_pos_batting_clutch_metric,2018_matches_played,2018_neg_batting_clutch_metric,2024_neg_bowling_clutch_metric,2023_neg_bowling_clutch_metric,2022_neg_bowling_clutch_metric,2022_pos_bowling_clutch_metric,2020_neg_bowling_clutch_metric,2020_pos_bowling_clutch_metric,2018_pos_bowling_clutch_metric,2018_neg_bowling_clutch_metric,2017_neg_batting_clutch_metric,2017_matches_played,2017_pos_batting_clutch_metric,2017_pos_bowling_clutch_metric,2024_pos_bowling_clutch_metric,2023_pos_bowling_clutch_metric,2021_neg_bowling_clutch_metric,2021_pos_bowling_clutch_metric,2016_pos_bowling_clutch_metric,2016_neg_bowling_clutch_metric,2015_neg_bowling_clutch_metric,2015_pos_bowling_clutch_metric,2014_pos_batting_clutch_metric,2014_pos_bowling_clutch_metric,2014_neg_bowling_clutch_metric,2013_pos_bowling_clutch_metric,2012_pos_bowling_clutch_metric,2012_neg_bowling_clutch_metric,2011_neg_bowling_clutch_metric,2011_pos_bowling_clutch_metric,2019_pos_bowling_clutch_metric,education,also known as,nicknames,height,2017_neg_bowling_clutch_metric,2019_neg_bowling_clutch_metric,2009_neg_batting_clutch_metric,2009_matches_played,2009_neg_bowling_clutch_metric,2009_pos_bowling_clutch_metric,2010_pos_batting_clutch_metric,2010_matches_played,2013_neg_bowling_clutch_metric,2010_neg_batting_clutch_metric,2010_neg_bowling_clutch_metric,2010_pos_bowling_clutch_metric,2008_pos_batting_clutch_metric,2008_matches_played,2008_pos_bowling_clutch_metric,2008_neg_bowling_clutch_metric,2008_neg_batting_clutch_metric,2009_pos_batting_clutch_metric,2007_neg_batting_clutch_metric,2007_matches_played,2007_neg_bowling_clutch_metric,2007_pos_batting_clutch_metric,2007_pos_bowling_clutch_metric,other,died
670035,west,4,brandon alexander king,"december 16, 1994, kingston, jamaica",29y 187d,right hand bat,top order batter,-48.51470366757545,10.0,505.67772099999996,701.316028,13.0,-121.74085972850679,-173.53834962929193,17.0,301.907971,-35.161544800862345,3.0,-36.16521739130435,4.0,108.877682,-67.71202993221681,5.0,41.04099999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333066,west,4,johnson charles,"january 14, 1989, st lucia",35y 158d,right hand bat,wicketkeeper batter,-47.562382736493454,11.0,310.13964699999997,293.13187800000003,7.0,-47.395070119514216,-35.78394122138866,4.0,66.99105,,,,,,,,,wicketkeeper,-33.31474543076653,10.0,282.341038,66.1446,2.0,-9.32,-51.40163328188157,3.0,-32.666666666666664,5.0,192.65187,372.60772999999995,10.0,-48.90646734324973,21.21575,2.0,-3.3021320852834113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604302,west,4,nicholas pooran,"october 02, 1995, trinidad",28y 262d,left hand bat,wicketkeeper batter,-51.75722702137004,8.0,310.038005,772.950073,13.0,-107.45970357662938,-190.03493938804328,22.0,358.494845,-150.8609404195521,20.0,-55.18769671935274,5.0,58.50264,-95.24362806590223,8.0,39.496269999999996,wicketkeeper,-24.456725276391165,3.0,,,,,,,,,,,,,,,,right arm offbreak,435.8937729999999,151.24685999999997,5.0,-31.234516989137337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820351,west,4,rovman powell,"july 23, 1993, jamaica",30y 333d,right hand bat,middle order batter,-35.708809131794425,10.0,301.02619500000003,874.710952,15.0,-93.53084543989247,-178.8435926395747,23.0,440.32658499999997,-50.222916128827265,4.0,-52.26254539090869,5.0,27.897869999999994,-36.40919967478966,3.0,,,,,,,,,,,,,,,,,,,,right arm medium fast,43.230599999999995,167.439092,13.0,-74.1968174232092,-13.318322544328737,-11.447775654297393,-11.111111111111112,0.12307692307692307,-4.285714285714286,0.3404748118123915,0.15364916773367476,-15.619691505719626,-32.09117664706588,6.0,130.61592000000002,0.32121724429416737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276298,west,4,andre dwayne russell,"april 29, 1988, jamaica",36y 52d,right hand bat,allrounder,-68.44905660377357,16.0,486.852255,219.42974400000003,10.0,-25.418522267206477,,,,-89.22847533578714,29.0,,4.0,177.694447,,,,,-9.872306913427463,14.0,329.660164,271.65144,8.0,-5.316666666666666,-105.61675416924028,25.0,,5.0,119.92117,160.85704999999996,7.0,-16.41848033600611,42.45575,9.0,-17.152128335451078,right arm fast,455.156156,134.34819199999998,8.0,-15.598586232928419,-10.84700902812358,-4.3045329670329675,,,,0.3723306633486274,0.6179606911518489,-12.119760292143948,,,,,1.3871176556295954,1.0706042554235717,-39.072101561152344,1.8059092811684923,2.1617849234844013,-2.57703081232493,-7.132243684992571,0.47482233502538074,192.05903999999998,1.4163679343705782,-58.31150849545489,0.37061560290759177,0.3251359262577547,-3.3587786259541987,-24.328884846018504,0.2503201024327785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914541,west,4,sherfane eviston rutherford,"august 15, 1998",25y 310d,left hand bat,middle order batter,-53.69543710318845,8.0,351.98676,51.566219999999994,4.0,-24.152670298661256,,,,,,-13.599999999999998,2.0,,-10.288598421120746,3.0,61.54099999999999,,,,,,,,,,,,,,,,,,,right arm fast medium,,32.82826,1.0,,,-7.371794871794871,,,,0.32573623559539056,,,,,,,,,,,,,,,,,,,,,,,0.08695652173913043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677077,west,4,romario shepherd,"november 26, 1994, guyana",29y 207d,right hand bat,bowling allrounder,-65.28256482096874,15.0,321.44874999999996,250.13530999999998,17.0,-68.36554822850518,-34.891569462343334,20.0,195.25005,-5.985435740796917,6.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,right arm fast medium,,,,,-13.354545351449378,-11.669826936348676,-37.97667867836277,1.557432288227267,,0.24735051045211476,,,,,,,1.7528840519716962,2.078892253692245,-26.337544797823437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530812,west,4,akeal jerome hosein,"april 25, 1993, port-of-spain",31y 56d,left hand bat,bowler,-33.325,16.0,106.029715,105.49783000000001,16.0,-12.866344317385103,-52.484745977296086,26.0,114.570435,-53.00593849255167,16.0,,,,,,,,,,,,,,,,,,,,,,,,,slow left arm orthodox,,,,,-16.220387971161966,-17.290186866273825,-39.30571695509177,2.4592022048837,,,,,,,,,3.7544149803085176,2.5484575213289813,-41.052702568084705,0.38797814207650266,,,,,,,,,,,,,,success laventille composite school,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670031,west,4,alzarri shaheim joseph,"november 20, 1996, antigua",27y 213d,right hand bat,bowler,-14.785714285714285,10.0,67.11704999999999,219.33784,11.0,,-39.07673845518569,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,right arm fast,,,,,-9.080383153138573,-5.499482401656315,-18.854430364220683,1.1398899290634366,,,,,,,,,2.5580670690155287,2.444752242382311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670045,west,4,gudakesh motie,"march 29, 1995, georgetown, guyana",29y 83d,left hand bat,bowler,,11.0,142.65949999999998,,5.0,-12.38,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,slow left arm orthodox,,,,,-2.6373626373626373,-5.746336996336996,,,,,,,,,,,3.64788024864215,1.3457082157465834,-2.7751196172248807,,,,,,,,,,,,,,,,motie-kanhai,,,,,,,,,,,,,,,,,,,,,,,,,,,
