rank,year,player_url,player_id,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,team,batter_surname,year_neg_batting_clutch_metric,year_matches_played,year_pos_batting_clutch_metric
1,2024,/cricketers/rahmanullah-gurbaz-974087,974087,Rahmanullah Gurbaz (AFG),2024-2024,7,7,0,281,80,40.14,223,126.00,0,3,1,18,16,AFG,Gurbaz,-70.48381260826365,14,409.814625
2,2024,/cricketers/travis-head-530011,530011,TM Head (AUS),2024-2024,7,7,1,255,76,42.50,161,158.38,0,2,1,26,15,AUS,Head,,7,571.2582749999998
3,2024,/cricketers/ibrahim-zadran-921509,921509,Ibrahim Zadran (AFG),2024-2024,7,7,0,229,70,32.71,210,109.04,0,2,1,25,4,AFG,Zadran,-67.13860586475923,14,336.4086210000001
4,2024,/cricketers/nicholas-pooran-604302,604302,N Pooran (WI),2024-2024,7,7,1,228,98,38.00,156,146.15,0,1,0,15,17,WI,Pooran,-51.75722702137004,8,310.038005
5,2024,/cricketers/andries-gous-485379,485379,AGS Gous (USA),2024-2024,6,6,1,219,80*,43.80,145,151.03,0,2,0,20,11,USA,Gous,-31.783631249768696,9,301.29559
6,2024,/cricketers/quinton-de-kock-379143,379143,Q de Kock (SA),2024-2024,7,7,0,199,74,28.42,134,148.50,0,2,1,16,12,SA,Kock,-49.19115496787941,8,163.98449
7,2024,/cricketers/rohit-sharma-34102,34102,RG Sharma (IND),2024-2024,6,6,1,191,92,38.20,120,159.16,0,2,0,16,13,IND,Sharma,,5,151.44584999999995
8,2024,/cricketers/jos-buttler-308967,308967,JC Buttler (ENG),2024-2024,7,6,2,191,83*,47.75,120,159.16,0,1,1,18,10,ENG,Buttler,-16.5,6,280.648441
9,2024,/cricketers/phil-salt-669365,669365,PD Salt (ENG),2024-2024,7,6,2,183,87*,45.75,110,166.36,0,1,0,16,10,ENG,Salt,-15.813079812926473,6,398.43411000000003
10,2024,/cricketers/david-warner-219889,219889,DA Warner (AUS),2024-2024,7,7,1,178,56,29.66,128,139.06,0,2,0,17,9,AUS,Warner,-20.693554466641537,8,531.1522050000002
11,2024,/cricketers/marcus-stoinis-325012,325012,MP Stoinis (AUS),2024-2024,7,5,1,169,67*,42.25,103,164.07,0,2,0,14,10,AUS,Stoinis,,10,460.09361500000006
12,2024,/cricketers/rishabh-pant-931581,931581,RR Pant (IND),2024-2024,6,6,1,167,42,33.40,126,132.53,0,0,0,19,6,IND,Pant,,2,101.22623
13,2024,/cricketers/aaron-jones-957645,957645,Aaron Jones (USA),2024-2024,6,6,2,162,94*,40.50,120,135.00,0,1,1,8,14,USA,Jones,-63.08897876643074,10,303.602714
14,2024,/cricketers/towhid-hridoy-990031,990031,Towhid Hridoy (BAN),2024-2024,7,7,0,153,40,21.85,119,128.57,0,0,0,9,8,BAN,Hridoy,-83.56540689141545,14,468.579456
15,2024,/cricketers/suryakumar-yadav-446507,446507,SA Yadav (IND),2024-2024,6,6,1,149,53,29.80,107,139.25,0,2,0,11,8,IND,Yadav,,2,73.37601
1,2022,/cricketers/virat-kohli-253802,253802,V Kohli (IND),2022-2022,6,6,3,296,82*,98.66,217,136.40,0,4,0,25,8,IND,Kohli,-113.7263954700418,21,670.1546379999999
2,2022,/cricketers/max-o-dowd-643197,643197,MP O'Dowd (NED),2022-2022,8,8,1,242,71*,34.57,215,112.55,0,2,0,22,8,NED,O'Dowd,-46.577616828553076,15,317.28152
3,2022,/cricketers/suryakumar-yadav-446507,446507,SA Yadav (IND),2022-2022,6,6,2,239,68,59.75,126,189.68,0,3,0,26,9,IND,Yadav,-176.4688348444786,30,1720.598331
4,2022,/cricketers/jos-buttler-308967,308967,JC Buttler (ENG),2022-2022,6,6,1,225,80*,45.00,156,144.23,0,2,1,24,7,ENG,Buttler,-60.405724750927924,14,826.4439279999998
5,2022,/cricketers/kusal-mendis-629074,629074,BKG Mendis (SL),2022-2022,8,8,1,223,79,31.85,156,142.94,0,2,0,17,10,SL,Mendis,-82.28712361583717,20,585.647912
6,2022,/cricketers/sikandar-raza-299572,299572,Sikandar Raza (ZIM),2022-2022,8,8,0,219,82,27.37,148,147.97,0,1,2,16,11,ZIM,Raza,-93.08335158717257,41,594.47065
7,2022,/cricketers/pathum-nissanka-1028655,1028655,P Nissanka (SL),2022-2022,7,7,0,214,74,30.57,196,109.18,0,2,1,13,8,SL,Nissanka,-196.34903199630944,24,539.3376599999998
8,2022,/cricketers/alex-hales-249866,249866,AD Hales (ENG),2022-2022,6,6,1,212,86*,42.40,144,147.22,0,2,0,19,10,ENG,Hales,-68.78745351341557,14,484.468306
9,2022,/cricketers/lorcan-tucker-928057,928057,LJ Tucker (IRE),2022-2022,7,7,2,204,71*,40.80,163,125.15,0,1,0,19,4,IRE,Tucker,-147.70283004823503,26,421.41231099999993
10,2022,/cricketers/glenn-phillips-823509,823509,GD Phillips (NZ),2022-2022,5,5,0,201,104,40.20,127,158.26,1,1,0,19,8,NZ,Phillips,-83.25935599063881,20,902.3149909999997
11,2022,/cricketers/najmul-hossain-shanto-629058,629058,Najmul Hossain Shanto (BAN),2022-2022,5,5,0,180,71,36.00,157,114.64,0,2,0,20,2,BAN,Shanto,-118.09879766651969,11,160.994217
12,2022,/cricketers/kane-williamson-277906,277906,KS Williamson (NZ),2022-2022,5,5,0,178,61,35.60,153,116.33,0,1,0,11,5,NZ,Williamson,-87.31445959387,13,360.894553
13,2022,/cricketers/dhananjaya-de-silva-465793,465793,DM de Silva (SL),2022-2022,8,8,1,177,66*,25.28,137,129.19,0,1,2,15,4,SL,Silva,-38.043327220205754,18,252.38583
14,2022,/cricketers/shan-masood-233901,233901,Shan Masood (PAK),2022-2022,7,7,3,175,52*,43.75,148,118.24,0,1,0,12,1,PAK,Masood,-116.67320227695758,17,328.24689999999987
15,2022,/cricketers/mohammad-rizwan-323389,323389,Mohammad Rizwan (PAK),2022-2022,7,7,0,175,57,25.00,160,109.37,0,1,0,15,3,PAK,Rizwan,-117.66900122213373,25,647.770341
1,2021,/cricketers/babar-azam-348144,348144,Babar Azam (PAK),2021-2021,6,6,1,303,70,60.60,240,126.25,0,4,0,28,5,PAK,Azam,-78.48334943172472,26,807.1448409999998
2,2021,/cricketers/david-warner-219889,219889,DA Warner (AUS),2021-2021,7,7,1,289,89*,48.16,197,146.70,0,3,0,32,10,AUS,Warner,-4.166666666666666,7,235.760174
3,2021,/cricketers/mohammad-rizwan-323389,323389,Mohammad Rizwan (PAK),2021-2021,6,6,2,281,79*,70.25,220,127.72,0,3,0,23,12,PAK,Rizwan,-79.96165174224133,26,1016.417125
4,2021,/cricketers/jos-buttler-308967,308967,JC Buttler (ENG),2021-2021,6,6,3,269,101*,89.66,178,151.12,1,1,0,22,13,ENG,Buttler,-98.90201068432364,14,415.3675920000002
5,2021,/cricketers/charith-asalanka-784367,784367,KIC Asalanka (SL),2021-2021,6,6,1,231,80*,46.20,157,147.13,0,2,0,23,9,SL,Asalanka,-48.065850112317065,10,275.40480499999995
6,2021,/cricketers/david-wiese-221140,221140,D Wiese (NAM),2021-2021,8,8,3,227,66*,45.40,178,127.52,0,1,0,13,11,NAM,Wiese,-70.20058430364973,22,213.81893
7,2021,/cricketers/pathum-nissanka-1028655,1028655,P Nissanka (SL),2021-2021,8,8,0,221,72,27.62,188,117.55,0,3,1,19,5,SL,Nissanka,-64.4779913558783,11,349.23866499999997
8,2021,/cricketers/kane-williamson-277906,277906,KS Williamson (NZ),2021-2021,7,7,2,216,85,43.20,187,115.50,0,1,1,20,5,NZ,Williamson,-38.69797179741711,12,244.675348
