rank,year,player_url,player_id,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,team,batter_surname,year_neg_batting_clutch_metric,year_matches_played,year_pos_batting_clutch_metric
1,2024,/cricketers/rahmanullah-gurbaz-974087,974087,Rahmanullah Gurbaz (AFG),2024-2024,8,8,0,281,80,35.12,226,124.33,0,3,2,18,16,AFG,Gurbaz,-70.48381260826365,14,409.814625
2,2024,/cricketers/rohit-sharma-34102,34102,RG Sharma (IND),2024-2024,8,8,1,257,92,36.71,164,156.70,0,3,0,24,15,IND,Sharma,,5,151.44584999999995
3,2024,/cricketers/travis-head-530011,530011,TM Head (AUS),2024-2024,7,7,1,255,76,42.50,161,158.38,0,2,1,26,15,AUS,Head,,7,571.2582749999998
4,2024,/cricketers/quinton-de-kock-379143,379143,Q de Kock (SA),2024-2024,9,9,0,243,74,27.00,173,140.46,0,2,1,21,13,SA,Kock,-49.19115496787941,8,163.98449
5,2024,/cricketers/ibrahim-zadran-921509,921509,Ibrahim Zadran (AFG),2024-2024,8,8,0,231,70,28.87,215,107.44,0,2,1,25,4,AFG,Zadran,-67.13860586475923,14,336.4086210000001
6,2024,/cricketers/nicholas-pooran-604302,604302,N Pooran (WI),2024-2024,7,7,1,228,98,38.00,156,146.15,0,1,0,15,17,WI,Pooran,-51.75722702137004,8,310.038005
7,2024,/cricketers/andries-gous-485379,485379,AGS Gous (USA),2024-2024,6,6,1,219,80*,43.80,145,151.03,0,2,0,20,11,USA,Gous,-31.783631249768696,9,301.29559
8,2024,/cricketers/jos-buttler-308967,308967,JC Buttler (ENG),2024-2024,8,7,2,214,83*,42.80,135,158.51,0,1,1,22,10,ENG,Buttler,-16.5,6,280.648441
9,2024,/cricketers/suryakumar-yadav-446507,446507,SA Yadav (IND),2024-2024,8,8,1,199,53,28.42,147,135.37,0,2,0,15,10,IND,Yadav,,2,73.37601
10,2024,/cricketers/heinrich-klaasen-436757,436757,H Klaasen (SA),2024-2024,9,8,2,190,52,31.66,150,126.66,0,1,0,9,13,SA,Klaasen,-18.36767546683837,5,142.491778
11,2024,/cricketers/phil-salt-669365,669365,PD Salt (ENG),2024-2024,8,7,2,188,87*,37.60,118,159.32,0,1,0,16,10,ENG,Salt,-15.813079812926473,6,398.43411000000003
12,2024,/cricketers/david-warner-219889,219889,DA Warner (AUS),2024-2024,7,7,1,178,56,29.66,128,139.06,0,2,0,17,9,AUS,Warner,-20.693554466641537,8,531.1522050000002
13,2024,/cricketers/rishabh-pant-931581,931581,RR Pant (IND),2024-2024,8,8,1,171,42,24.42,134,127.61,0,0,1,19,6,IND,Pant,,2,101.22623
14,2024,/cricketers/marcus-stoinis-325012,325012,MP Stoinis (AUS),2024-2024,7,5,1,169,67*,42.25,103,164.07,0,2,0,14,10,AUS,Stoinis,,10,460.09361500000006
15,2024,/cricketers/david-miller-321777,321777,DA Miller (SA),2024-2024,9,8,2,169,59*,28.16,165,102.42,0,1,1,10,8,SA,Miller,-17.115,5,93.198056
