year,match_id,espn_match_id,scorecard_link,live_score_link,match_overs_link,tournament_link,tournament_id,tournament,team1,team1_id,team2,team2_id,match_details,date,venue_name,venue_link,venue_id,match_result,winner,winner_id,winning_team_1_or_2,team1_overs,team2_overs,team1_runs,team1_wickets,team1_runrate,team2_runs,team2_wickets,team2_runrate,team1_batters_used,team2_batters_used,team1_bowlers_used,team2_bowlers_used,team1_batsmen_clutch_metric,team2_batsmen_clutch_metric,team1_bowlers_clutch_metric,team2_bowlers_clutch_metric,team1_batsmen_left_handers,team1_batsmen_left_hander_runs_scored,team1_batsmen_left_hander_stamina,team1_batsmen_left_hander_balls,team1_batsmen_left_hander_boundaries,team1_batsmen_right_handers,team1_batsmen_right_hander_runs_scored,team1_batsmen_right_hander_stamina,team1_batsmen_right_hander_balls,team1_batsmen_right_hander_boundaries,team2_batsmen_left_handers,team2_batsmen_left_hander_runs_scored,team2_batsmen_left_hander_stamina,team2_batsmen_left_hander_balls,team2_batsmen_left_hander_boundaries,team2_batsmen_right_handers,team2_batsmen_right_hander_runs_scored,team2_batsmen_right_hander_stamina,team2_batsmen_right_hander_balls,team2_batsmen_right_hander_boundaries,team1_bowlers_left_hand_quicks,team1_bowlers_left_hand_quick_overs,team1_bowlers_left_hand_quick_wickets,team1_bowlers_left_hand_quick_dot_balls,team1_bowlers_left_hand_quick_runs_conceded,team1_bowlers_left_hand_quick_boundaries_conceded,team1_bowlers_left_hand_quick_extras_conceded,team1_bowlers_right_hand_quicks,team1_bowlers_right_hand_quick_overs,team1_bowlers_right_hand_quick_wickets,team1_bowlers_right_hand_quick_dot_balls,team1_bowlers_right_hand_quick_runs_conceded,team1_bowlers_right_hand_quick_boundaries_conceded,team1_bowlers_right_hand_quick_extras_conceded,team1_bowlers_spinners,team1_bowlers_spinner_overs,team1_bowlers_spinner_wickets,team1_bowlers_spinner_dot_balls,team1_bowlers_spinner_runs_conceded,team1_bowlers_spinner_boundaries_conceded,team1_bowlers_spinner_extras_conceded,team2_bowlers_left_hand_quicks,team2_bowlers_left_hand_quick_overs,team2_bowlers_left_hand_quick_wickets,team2_bowlers_left_hand_quick_dot_balls,team2_bowlers_left_hand_quick_runs_conceded,team2_bowlers_left_hand_quick_boundaries_conceded,team2_bowlers_left_hand_quick_extras_conceded,team2_bowlers_right_hand_quicks,team2_bowlers_right_hand_quick_overs,team2_bowlers_right_hand_quick_wickets,team2_bowlers_right_hand_quick_dot_balls,team2_bowlers_right_hand_quick_runs_conceded,team2_bowlers_right_hand_quick_boundaries_conceded,team2_bowlers_right_hand_quick_extras_conceded,team2_bowlers_spinners,team2_bowlers_spinner_overs,team2_bowlers_spinner_wickets,team2_bowlers_spinner_dot_balls,team2_bowlers_spinner_runs_conceded,team2_bowlers_spinner_boundaries_conceded,team2_bowlers_spinner_extras_conceded,team1_player_ids,team2_player_ids,team1_batsmen_count,team1_bowler_count,team1_allrounder_count,team2_batsmen_count,team2_bowler_count,team2_allrounder_count,team1_pp_runs_scored,team1_middle_runs_scored,team1_death_runs_scored,team1_pp_run_rate,team1_middle_run_rate,team1_death_run_rate,team1_pp_wickets_lost,team1_middle_wickets_lost,team1_death_wickets_lost,team2_pp_runs_scored,team2_middle_runs_scored,team2_death_runs_scored,team2_pp_run_rate,team2_middle_run_rate,team2_death_run_rate,team2_pp_wickets_lost,team2_middle_wickets_lost,team2_death_wickets_lost
2024,2709,1415742,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/west-indies-vs-england-42nd-match-super-eights-group-2-1415742/full-scorecard,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/west-indies-vs-england-42nd-match-super-eights-group-2-1415742/live-cricket-score,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/west-indies-vs-england-42nd-match-super-eights-group-2-1415742/match-overs-comparison,/series/icc-men-s-t20-world-cup-2024-1411166,1411166,ICC Men's T20 World Cup,West Indies,4,England,1,"[""42nd Match, Super Eights, Group 2 (N), Gros Islet, June 19, 2024, ICC Men's T20 World Cup""]","Jun 19, 2024",Gros Islet,/cricket-grounds/daren-sammy-national-cricket-stadium-gros-islet-st-lucia-59518,59518,England won by 8 wickets (with 15 balls remaining),England,1,team2,20,17.3,180,4,9.00,181,2,10.34,7,4,6,7,-203.08491780080027,126.92143200000001,-19.274175824175824,2.656292519071297,2,64,73,47,8,5,103,119,73,15,1,13,9,10,2,3,160,145,95,21,0,0.0,0,0,0,0,0,3,6.3,1,6,94,13,3,3,11.0,1,23,86,10,3,2,6.0,0,17,51,7,4,2,7.0,1,19,70,11,5,3,7.0,3,15,56,5,1,"['670035', '333066', '604302', '820351', '276298', '914541', '677077', '391832', '530812', '670031', '670045']","['669365', '308967', '8917', '297433', '911707', '403902', '662973', '669855', '244497', '351588', '461632']",5,4,2,5,4,2,54,83,43,9.0,9.222222222222221,8.6,0,2,2,58,83,40,9.666666666666666,9.222222222222221,10.0,0,2,0
2024,2708,1415741,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/south-africa-vs-united-states-of-america-41st-match-super-eights-group-2-1415741/full-scorecard,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/south-africa-vs-united-states-of-america-41st-match-super-eights-group-2-1415741/live-cricket-score,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/south-africa-vs-united-states-of-america-41st-match-super-eights-group-2-1415741/match-overs-comparison,/series/icc-men-s-t20-world-cup-2024-1411166,1411166,ICC Men's T20 World Cup,South Africa,3,United States of America,11,"[""41st Match, Super Eights, Group 2, North Sound, June 19, 2024, ICC Men's T20 World Cup""]","Jun 19, 2024",North Sound,/cricket-grounds/sir-vivian-richards-stadium-north-sound-antigua-208543,208543,South Africa won by 18 runs,South Africa,3,team1,20,20,194,4,9.70,176,6,8.80,6,8,6,7,278.57624,-199.48749535010757,2.4102291902151194,-39.41573033707865,2,74,55,41,12,4,113,123,81,11,3,74,56,48,11,5,93,159,73,11,1,3.0,0,9,32,5,2,2,8.0,4,24,55,7,3,3,9.0,2,14,87,10,2,2,5.0,2,12,38,5,0,2,6.0,0,9,81,10,5,3,9.0,2,13,74,8,1,"['379143', '269280', '600498', '321777', '436757', '595978', '696401', '267724', '550215', '481979', '379145']","['348133', '485379', '348129', '957645', '277662', '647771', '422847', '772471', '1041679', '927119', '398513']",6,5,0,5,5,1,64,77,53,10.666666666666666,8.555555555555555,10.6,1,3,0,53,69,54,8.833333333333334,7.666666666666667,10.8,2,3,1
2024,2703,1415740,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/west-indies-vs-afghanistan-40th-match-group-c-1415740/full-scorecard,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/west-indies-vs-afghanistan-40th-match-group-c-1415740/live-cricket-score,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/west-indies-vs-afghanistan-40th-match-group-c-1415740/match-overs-comparison,/series/icc-men-s-t20-world-cup-2024-1411166,1411166,ICC Men's T20 World Cup,West Indies,4,Afghanistan,40,"[""40th Match, Group C (N), Gros Islet, June 17, 2024, ICC Men's T20 World Cup""]","Jun 17, 2024",Gros Islet,/cricket-grounds/daren-sammy-national-cricket-stadium-gros-islet-st-lucia-59518,59518,West Indies won by 104 runs,West Indies,4,team1,20,16.2,218,5,10.90,114,10,6.97,7,11,5,7,535.13005,-50.896297707217336,2.2717993256320868,-52.29278642149931,2,99,87,54,14,5,104,103,68,14,1,0,1,2,0,10,107,137,96,14,1,3.0,3,9,14,1,0,2,5.2,2,13,47,7,1,2,8.0,4,26,49,6,1,1,3.0,0,4,38,6,2,3,8.0,4,19,96,14,4,3,9.0,0,13,80,8,1,"['670035', '333066', '604302', '581379', '820351', '276298', '914541', '530812', '670031', '670045', '906783']","['974087', '921509', '352048', '819429', '524049', '25913', '793467', '793463', '1182529', '793447', '974175']",6,4,1,4,5,2,92,56,70,15.333333333333334,6.222222222222222,14.0,1,2,2,45,57,12,7.5,6.333333333333333,4.0,1,7,2
2024,2702,1415739,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/new-zealand-vs-papua-new-guinea-39th-match-group-c-1415739/full-scorecard,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/new-zealand-vs-papua-new-guinea-39th-match-group-c-1415739/live-cricket-score,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/new-zealand-vs-papua-new-guinea-39th-match-group-c-1415739/match-overs-comparison,/series/icc-men-s-t20-world-cup-2024-1411166,1411166,ICC Men's T20 World Cup,Papua New Guinea,20,New Zealand,5,"[""39th Match, Group C, Tarouba, June 17, 2024, ICC Men's T20 World Cup""]","Jun 17, 2024",Tarouba,/cricket-grounds/brian-lara-stadium-tarouba-trinidad-247418,247418,New Zealand won by 7 wickets (with 46 balls remaining),New Zealand,5,team2,19.4,12.2,78,10,3.96,79,3,6.40,11,5,7,5,-29.362281440423942,82.29504,-40.12807881773399,24.855700379475334,4,36,92,69,4,7,31,72,49,4,2,41,60,43,5,3,37,54,31,5,2,5.2,3,19,27,4,0,3,5.0,0,14,42,6,0,2,2.0,0,3,9,0,0,1,4.0,2,16,14,2,0,2,8.0,5,42,11,1,2,2,7.4,3,23,46,5,2,"['302845', '25056', '332980', '420427', '646175', '574287', '646173', '524253', '524247', '524255', '1115025']","['959759', '379140', '959767', '277906', '381743', '823509', '559066', '502714', '232364', '493773', '277912']",5,5,1,5,5,1,16,36,26,2.6666666666666665,4.0,0.0,2,3,5,29,50,0,4.833333333333333,7.142857142857143,0.0,2,1,0
2024,2699,1415738,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/netherlands-vs-sri-lanka-38th-match-group-d-1415738/full-scorecard,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/netherlands-vs-sri-lanka-38th-match-group-d-1415738/live-cricket-score,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/netherlands-vs-sri-lanka-38th-match-group-d-1415738/match-overs-comparison,/series/icc-men-s-t20-world-cup-2024-1411166,1411166,ICC Men's T20 World Cup,Sri Lanka,8,Netherlands,15,"[""38th Match, Group D (N), Gros Islet, June 16, 2024, ICC Men's T20 World Cup""]","Jun 16, 2024",Gros Islet,/cricket-grounds/daren-sammy-national-cricket-stadium-gros-islet-st-lucia-59518,59518,Sri Lanka won by 83 runs,Sri Lanka,8,team1,20,16.4,201,6,10.05,118,10,7.08,8,11,6,6,679.91265,-44.49768143521925,2.1386724592709454,-32.52367688022284,2,63,55,41,8,6,130,127,79,15,1,7,12,10,0,10,103,133,91,11,0,0.0,0,0,0,0,0,4,9.4,6,29,66,6,5,2,7.0,3,17,50,5,1,0,0.0,0,0,0,0,0,4,13.0,4,26,137,16,7,2,7.0,2,8,64,7,1,"['1028655', '629074', '784373', '465793', '784367', '49764', '437316', '784379', '1138316', '1194795', '955235']","['1071504', '643197', '1153767', '315035', '1127317', '1036191', '440522', '1193548', '1195672', '348109', '416103']",3,3,5,5,4,2,45,79,77,7.5,8.777777777777779,15.4,2,2,2,47,55,16,7.833333333333333,6.111111111111111,5.333333333333333,2,6,2
2024,2698,1415737,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/bangladesh-vs-nepal-37th-match-group-d-1415737/full-scorecard,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/bangladesh-vs-nepal-37th-match-group-d-1415737/live-cricket-score,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/bangladesh-vs-nepal-37th-match-group-d-1415737/match-overs-comparison,/series/icc-men-s-t20-world-cup-2024-1411166,1411166,ICC Men's T20 World Cup,Bangladesh,25,Nepal,33,"[""37th Match, Group D (N), Kingstown, June 16, 2024, ICC Men's T20 World Cup""]","Jun 16, 2024",Kingstown,/cricket-grounds/arnos-vale-ground-kingstown-st-vincent-59463,59463,Bangladesh won by 21 runs,Bangladesh,25,team1,19.3,19.2,106,10,5.43,85,10,4.39,11,11,6,6,498.00158999999996,-39.57576198710517,3.0724543123726575,-53.37490720118784,5,36,-5,47,4,6,60,-6,70,7,2,27,53,44,2,9,48,125,72,8,1,4.0,3,20,7,1,0,2,8.0,5,34,36,6,2,3,7.2,2,26,39,3,1,0,0.0,0,0,0,0,0,3,7.3,4,26,42,5,2,4,15.3,6,49,81,9,3,"['990023', '536936', '629058', '56143', '990031', '56025', '824541', '1139520', '1139523', '538506', '330902']","['794713', '1058514', '1058510', '1072488', '1161022', '1141934', '794707', '1253822', '701215', '960361', '1058508']",5,4,2,7,4,0,31,44,31,5.166666666666667,4.888888888888889,6.2,4,3,3,24,41,20,4.0,4.555555555555555,4.0,4,1,5
2024,2697,1415736,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/ireland-vs-pakistan-36th-match-group-a-1415736/full-scorecard,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/ireland-vs-pakistan-36th-match-group-a-1415736/live-cricket-score,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/ireland-vs-pakistan-36th-match-group-a-1415736/match-overs-comparison,/series/icc-men-s-t20-world-cup-2024-1411166,1411166,ICC Men's T20 World Cup,Ireland,29,Pakistan,7,"[""36th Match, Group A, Lauderhill, June 16, 2024, ICC Men's T20 World Cup""]","Jun 16, 2024",Lauderhill,/cricket-grounds/central-broward-regional-park-stadium-turf-ground-lauderhill-378262,378262,Pakistan won by 3 wickets (with 7 balls remaining),Pakistan,7,team2,20,18.5,106,9,5.30,111,7,5.89,11,9,6,6,-77.12743030729833,342.654284,-36.6037037037037,2.5429584245865198,0,0,0,0,0,11,96,192,120,12,4,39,62,37,6,5,68,148,76,6,1,3.0,0,11,17,3,0,3,12.0,6,41,63,6,2,2,3.5,1,8,30,3,1,2,8.0,5,36,33,5,1,2,7.0,1,21,48,5,2,2,5.0,3,20,19,2,0,"['303423', '303427', '928057', '961407', '595921', '348034', '1099379', '526441', '348059', '928067', '928059']","['323389', '1161031', '348144', '512191', '1123428', '922943', '227758', '1158538', '1072470', '1161606', '290948']",5,4,2,5,4,2,32,54,20,5.333333333333333,6.0,4.0,5,4,0,40,41,30,6.666666666666667,4.555555555555555,6.0,2,4,1
2024,2689,1415735,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/australia-vs-scotland-35th-match-group-b-1415735/full-scorecard,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/australia-vs-scotland-35th-match-group-b-1415735/live-cricket-score,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/australia-vs-scotland-35th-match-group-b-1415735/match-overs-comparison,/series/icc-men-s-t20-world-cup-2024-1411166,1411166,ICC Men's T20 World Cup,Scotland,30,Australia,2,"[""35th Match, Group B (N), Gros Islet, June 15, 2024, ICC Men's T20 World Cup""]","Jun 15, 2024",Gros Islet,/cricket-grounds/daren-sammy-national-cricket-stadium-gros-islet-st-lucia-59518,59518,Australia won by 5 wickets (with 2 balls remaining),Australia,2,team2,20,19.4,180,5,9.00,186,5,9.45,7,7,6,5,-178.41433661259003,399.59797499999996,-23.00989010989011,1.7268623266435237,1,35,40,23,5,6,136,131,97,13,3,73,85,58,9,4,102,84,60,16,0,0.0,0,0,0,0,0,3,10.4,3,24,103,14,4,3,9.0,2,20,77,11,1,1,4.0,0,10,31,3,1,1,4.0,1,7,34,3,3,3,12.0,4,22,113,12,2,"['671805', '1093091', '949473', '25490', '417268', '414966', '873199', '659081', '671823', '807535', '414970']","['530011', '219889', '272450', '325026', '325012', '892749', '230193', '505120', '311592', '826915', '379504']",5,5,1,6,4,1,54,84,42,9.0,9.333333333333334,8.4,1,3,1,36,85,65,6.0,9.444444444444445,13.0,2,1,2
2024,2688,1415734,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/england-vs-namibia-34th-match-group-b-1415734/full-scorecard,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/england-vs-namibia-34th-match-group-b-1415734/live-cricket-score,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/england-vs-namibia-34th-match-group-b-1415734/match-overs-comparison,/series/icc-men-s-t20-world-cup-2024-1411166,1411166,ICC Men's T20 World Cup,England,1,Namibia,28,"[""34th Match, Group B, North Sound, June 15, 2024, ICC Men's T20 World Cup""]","Jun 15, 2024",North Sound,/cricket-grounds/sir-vivian-richards-stadium-north-sound-antigua-208543,208543,England won by 41 runs (DLS method),England,1,team1,10,10,122,5,12.20,84,3,8.40,6,5,5,5,693.5578,-201.334426866042,3.092944535066223,-29.411764705882355,1,16,10,6,2,5,102,85,54,15,1,33,41,29,4,4,46,50,32,6,2,4.0,0,13,19,2,1,2,4.0,2,11,34,4,1,1,2.0,0,3,29,4,1,1,2.0,2,3,31,5,1,2,4.0,1,11,38,6,0,2,4.0,1,6,50,6,0,"['669365', '308967', '297433', '911707', '8917', '403902', '662973', '669855', '244497', '288992', '461632']","['833777', '595790', '221140', '519070', '553821', '482478', '596664', '698317', '330223', '1310415', '541991']",6,4,1,1,5,5,52,70,0,8.666666666666666,17.5,0.0,2,3,0,44,40,0,7.333333333333333,10.0,0.0,1,2,0
2024,2682,1415732,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/new-zealand-vs-uganda-32nd-match-group-c-1415732/full-scorecard,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/new-zealand-vs-uganda-32nd-match-group-c-1415732/live-cricket-score,https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2024-1411166/new-zealand-vs-uganda-32nd-match-group-c-1415732/match-overs-comparison,/series/icc-men-s-t20-world-cup-2024-1411166,1411166,ICC Men's T20 World Cup,Uganda,35,New Zealand,5,"[""32nd Match, Group C (N), Tarouba, June 14, 2024, ICC Men's T20 World Cup""]","Jun 14, 2024",Tarouba,/cricket-grounds/brian-lara-stadium-tarouba-trinidad-247418,247418,New Zealand won by 9 wickets (with 88 balls remaining),New Zealand,5,team2,18.4,5.2,40,10,2.14,41,1,7.68,11,3,3,5,-20.28487784069659,23.03232,-16.38392857142857,5.859547110591237,3,4,41,20,0,8,28,135,92,3,2,23,37,16,4,1,9,24,17,1,0,0.0,0,0,0,0,0,3,5.2,1,16,39,5,7,0,0.0,0,0,0,0,0,1,4.0,2,20,7,1,0,2,8.0,4,40,13,1,2,2,6.4,4,29,17,1,3,"['1151337', '531312', '1380565', '1178061', '928109', '1129565', '731523', '420492', '1107652', '1178060', '1107651']","['959759', '379140', '959767', '277906', '381743', '823509', '355269', '502714', '232364', '493773', '277912']",5,3,3,5,4,2,9,20,11,1.5,2.2222222222222223,0.0,3,4,3,41,0,0,6.833333333333333,0.0,0.0,1,0,0
